,player_name,player_age,player_position,market_value,from_club,to_club,transfer_fee,transfer_season,remaining_contract_length,nation,90s,sh/90,sot/90,league,sca90,gca90,gls/90,npxg/90,sca_passlive/90,sca_passdead/90,sca_to/90,gca_passlive/90,gca_passdead/90,gca_to/90,total_cmp/90,prgdist_passing/90,ast/90,xa/90,kp/90,1/3_passing/90,ppa/90,prgp/90,touches_att_3rd/90,touches_att_pen/90,carries/90,prgdist_possesion/90,1/3_possesion/90,cpa/90,takeons_succ/90,takeons_tkld/90,prgr/90
0,kai havertz,24,CF,55000000.0,CHE,ARS,75000000.0,23/24,24,GER,28.5,2.45,1.09,premier-league,2.21,0.14,0.24561403508771928,0.37894736842105264,1.894736842105263,0.07017543859649122,0.03508771929824561,0.10526315789473684,0.0,0.0,25.50877192982456,66.03508771929825,0.03508771929824561,0.09824561403508772,1.3333333333333333,1.719298245614035,0.9122807017543859,3.1228070175438596,22.45614035087719,5.7894736842105265,25.54385964912281,52.03508771929825,1.1578947368421053,1.0526315789473684,0.631578947368421,1.3333333333333333,7.649122807017544
1,folarin balogun,22,CF,30000000.0,ARS,AS Monaco,30000000.0,23/24,22,USA,33.3,3.63,1.5,ligue-1,2.4,0.3,0.6306306306306307,0.6306306306306307,1.5015015015015016,0.030030030030030033,0.3303303303303304,0.12012012012012013,0.0,0.060060060060060066,12.252252252252253,35.70570570570571,0.060060060060060066,0.0990990990990991,1.0810810810810811,0.8408408408408409,0.5705705705705706,1.6516516516516517,15.765765765765767,5.9459459459459465,22.282282282282285,50.96096096096097,0.8108108108108109,1.3513513513513515,1.0510510510510511,1.3213213213213215,8.498498498498499
2,moussa diaby,24,RW,50000000.0,Bayer 04 Leverkusen,AVL,55000000.0,23/24,47,FRA,30.0,2.63,1.13,bundesliga,3.67,0.53,0.3,0.3433333333333334,2.466666666666667,0.16666666666666666,0.4666666666666667,0.3333333333333333,0.0,0.13333333333333333,24.7,88.86666666666666,0.26666666666666666,0.23333333333333334,1.9333333333333333,1.5333333333333334,1.7333333333333334,3.466666666666667,22.2,4.633333333333334,28.3,105.93333333333334,2.433333333333333,1.8333333333333333,1.7,1.5,8.6
3,cameron archer,21,CF,12000000.0,AVL,SHU,21550000.0,23/24,34,ENG,0.5,0.0,0.0,premier-league,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,88.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,6.0,30.0,144.0,2.0,2.0,2.0,0.0,6.0
4,ben hamed toure,23,LW,22000000.0,US Sassuolo,BOU,25620000.0,23/24,34,CIV,2.3,0.86,0.0,ligue-1,0.43,0.0,0.0,0.04347826086956522,0.4347826086956522,0.0,0.0,0.0,0.0,0.0,12.173913043478262,23.91304347826087,0.0,0.0,0.0,0.4347826086956522,0.0,0.4347826086956522,8.260869565217392,0.0,15.65217391304348,34.34782608695652,0.8695652173913044,0.0,1.3043478260869565,0.4347826086956522,3.4782608695652177
5,kevin schade,21,LW,25000000.0,SC Freiburg,BRE,25000000.0,23/24,36,GER,2.0,1.98,0.49,bundesliga,0.49,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,42.0,0.0,0.25,0.0,2.5,0.5,1.5,26.0,6.5,24.0,64.5,1.5,2.5,1.5,4.0,10.0
6,kevin schade,21,LW,25000000.0,SC Freiburg,BRE,25000000.0,23/24,36,GER,8.1,1.48,0.49,premier-league,3.32,0.49,0.0,0.2592592592592593,1.8518518518518519,0.0,0.7407407407407408,0.3703703703703704,0.0,0.1234567901234568,12.71604938271605,35.18518518518518,0.1234567901234568,0.09876543209876544,0.9876543209876544,0.9876543209876544,0.617283950617284,1.8518518518518519,20.37037037037037,5.9259259259259265,18.14814814814815,61.851851851851855,1.4814814814814816,1.8518518518518519,1.4814814814814816,2.2222222222222223,7.037037037037037
7,halil dervisoglu,23,CF,2000000.0,BRE,Galatasaray,500000.0,23/24,24,TUR,0.1,11.25,0.0,premier-league,11.25,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0
8,sergi canos,26,LW,9000000.0,BRE,Valencia CF,250000.0,23/24,22,ESP,0.9,1.17,0.0,premier-league,3.51,0.0,0.0,0.11111111111111112,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,25.555555555555554,84.44444444444444,0.0,0.0,1.1111111111111112,2.2222222222222223,1.1111111111111112,2.2222222222222223,22.22222222222222,2.2222222222222223,32.22222222222222,123.33333333333333,2.2222222222222223,0.0,4.444444444444445,2.2222222222222223,7.777777777777778
9,christopher nkunku,25,CF,80000000.0,RB Leipzig,CHE,60000000.0,23/24,46,FRA,21.1,3.32,1.19,bundesliga,4.65,0.66,0.7582938388625592,0.5355450236966824,2.9383886255924168,0.14218009478672985,0.7582938388625592,0.33175355450236965,0.0,0.14218009478672985,23.554502369668246,87.77251184834122,0.1895734597156398,0.21800947867298576,1.848341232227488,1.6587677725118481,1.3270142180094786,3.3649289099526065,21.232227488151658,6.0663507109004735,27.86729857819905,58.05687203791469,1.0900473933649288,1.0900473933649288,1.8009478672985781,1.2796208530805686,8.34123222748815
