,player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season,remaining_contract_length
0,kai havertz,24,['Germany'],CF,55000000.0,CHE,ARS,75000000.0,23/24,24
1,folarin balogun,22,"['United States', 'England']",CF,30000000.0,ARS,AS Monaco,30000000.0,23/24,22
3,moussa diaby,24,"['France', 'Mali']",RW,50000000.0,Bayer 04 Leverkusen,AVL,55000000.0,23/24,47
4,cameron archer,21,"['England', 'Jamaica']",CF,12000000.0,AVL,SHU,21550000.0,23/24,34
5,jaden philogene bidace,21,"['England', 'Dominica']",LW,2800000.0,AVL,Hull City,5800000.0,23/24,53
6,keinan davis,25,"['England', 'Jamaica']",CF,3000000.0,AVL,Udinese Calcio,2300000.0,23/24,10
9,ben hamed toure,23,"[""Cote d'Ivoire""]",LW,22000000.0,US Sassuolo,BOU,25620000.0,23/24,34
10,kevin schade,21,"['Germany', 'Nigeria']",LW,25000000.0,SC Freiburg,BRE,25000000.0,23/24,36
11,halil dervisoglu,23,"['Türkiye', 'Netherlands']",CF,2000000.0,BRE,Galatasaray,500000.0,23/24,24
12,sergi canos,26,['Spain'],LW,9000000.0,BRE,Valencia CF,250000.0,23/24,22
14,andi zeqiri,24,"['Switzerland', 'Kosovo']",CF,3500000.0,BHA,KRC Genk,2750000.0,23/24,10
15,aaron connolly,23,['Ireland'],CF,4000000.0,BHA,Hull City,1350000.0,23/24,11
22,christopher nkunku,25,"['France', 'DR Congo']",CF,80000000.0,RB Leipzig,CHE,60000000.0,23/24,46
23,nicolas jackson,22,"['Senegal', 'The Gambia']",CF,30000000.0,Villarreal CF,CHE,37000000.0,23/24,94
26,christian pulisic,24,"['United States', 'Croatia']",RW,25000000.0,CHE,AC Milan,20800000.0,23/24,11
27,callum hudson odoi,22,"['England', 'Ghana']",LW,15000000.0,CHE,NFO,3500000.0,23/24,10
30,beto,25,"['Guinea-Bissau', 'Portugal']",CF,25000000.0,Udinese Calcio,EVE,25000000.0,23/24,34
32,moise kean,23,"['Italy', ""Cote d'Ivoire""]",CF,18000000.0,EVE,Juventus FC,30000000.0,23/24,12
33,alex iwobi,27,"['Nigeria', 'England']",LW,28000000.0,EVE,FUL,25700000.0,23/24,10
34,demarai gray,27,"['Jamaica', 'England']",LW,20000000.0,EVE,Al-Ettifaq FC,9300000.0,23/24,24
35,tom cannon,20,"['Ireland', 'England']",CF,5000000.0,EVE,LEI,8800000.0,23/24,41
36,ellis simms,22,['England'],CF,4000000.0,EVE,Coventry City,7000000.0,23/24,12
37,raul jimenez,32,['Mexico'],CF,6000000.0,WOL,FUL,6400000.0,23/24,11
39,aleksandar mitrovic,28,['Serbia'],CF,28000000.0,FUL,Al-Hilal SFC,52600000.0,23/24,10
46,carlos mendes,24,"['Guinea-Bissau', 'Spain']",RW,350000.0,LUT,Bolton Wanderers,300000.0,23/24,-
47,jeremy doku,21,"['Belgium', 'Ghana']",LW,28000000.0,Stade Rennais FC,MCI,60000000.0,23/24,22
48,riyad mahrez,32,"['Algeria', 'France']",RW,20000000.0,MCI,Al-Ahli SFC,35000000.0,23/24,23
51,rasmus hojlund,20,['Denmark'],CF,45000000.0,Atalanta BC,MUN,77800000.0,23/24,46
52,anthony elanga,21,"['Sweden', 'Cameroon']",RW,18000000.0,MUN,NFO,22930000.0,23/24,35
53,harvey barnes,25,"['England', 'Scotland']",LW,35000000.0,LEI,NEW,44000000.0,23/24,23
55,allan saint maximin,26,"['France', 'Haiti']",LW,32000000.0,NEW,Al-Ahli SFC,27200000.0,23/24,11
56,chris wood,31,['New Zealand'],CF,8000000.0,NEW,NFO,17000000.0,23/24,12
57,brennan johnson,22,"['Wales', 'England']",RW,38000000.0,NFO,TOT,55000000.0,23/24,34
58,sam surridge,24,['England'],CF,5000000.0,NFO,Nashville SC,5800000.0,23/24,11
60,iliman ndiaye,23,"['Senegal', 'France']",RW,18000000.0,SHU,Olympique Marseille,17000000.0,23/24,48
64,harry kane,30,"['England', 'Ireland']",CF,90000000.0,TOT,Bayern Munich,95000000.0,23/24,-
67,gianluca scamacca,24,['Italy'],CF,22000000.0,WHU,Atalanta BC,28000000.0,23/24,47
70,eddie nketiah,25,"['England', 'Ghana']",CF,30000000.0,ARS,CRY,29700000.0,24/25,34
71,donyell malen,25,"['Netherlands', 'Suriname']",RW,28000000.0,Borussia Dortmund,AVL,25000000.0,24/25,17
72,cameron archer,22,"['England', 'Jamaica']",CF,13000000.0,SHU,AVL,16649999.999999998,24/25,34
74,lewis dobbin,21,['England'],LW,2500000.0,EVE,AVL,11800000.0,24/25,12
75,jhon duran,21,['Colombia'],CF,40000000.0,AVL,Al-Nassr FC,77000000.0,24/25,-
76,moussa diaby,25,"['France', 'Mali']",RW,55000000.0,AVL,Al-Ittihad Club,60000000.0,24/25,47
77,jaden philogene bidace,22,"['England', 'Dominica']",LW,15000000.0,AVL,IPS,23700000.0,24/25,53
78,cameron archer,22,"['England', 'Jamaica']",CF,13000000.0,AVL,SOU,17600000.0,24/25,34
80,luis sinisterra,25,['Colombia'],LW,17000000.0,LEE,BOU,23400000.0,24/25,36
