Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Brenden Aaronson,USA,"['MF', 'FW']",Union Berlin,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,2023-2024
2,Paxten Aaronson,USA,['MF'],Eint Frankfurt,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,2023-2024
3,Junior Adamu,AUT,"['FW', 'MF']",Freiburg,22,2001,1.2,2,1.73,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2023-2024
4,Sargis Adamyan,ARM,"['FW', 'MF']",Köln,30,1993,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0,2023-2024
5,Karim Adeyemi,GER,"['FW', 'MF']",Dortmund,21,2002,10.1,25,2.46,13,1,3,2,6,0,2,0.20,2,0,0,0,0,0,2023-2024
6,Amine Adli,MAR,"['MF', 'FW']",Leverkusen,23,2000,10.0,52,5.22,39,0,6,3,4,0,9,0.90,5,0,2,1,1,0,2023-2024
7,Felix Agu,NGA,"['DF', 'MF']",Werder Bremen,23,1999,17.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0,2023-2024
8,Ludovic Ajorque,FRA,['FW'],Mainz 05,29,1994,15.1,37,2.45,29,1,0,1,5,1,0,0.00,0,0,0,0,0,0,2023-2024
9,Kevin Akpoguma,NGA,['DF'],Hoffenheim,28,1995,12.2,16,1.31,13,0,2,0,1,0,3,0.25,3,0,0,0,0,0,2023-2024
10,Faride Alidou,GER,"['FW', 'MF']",Köln,22,2001,14.2,34,2.39,23,0,5,1,5,0,3,0.21,1,0,1,0,1,0,2023-2024
11,Skelly Alvero,FRA,['MF'],Werder Bremen,21,2002,1.4,4,2.90,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
12,Nadiem Amiri,GER,['MF'],Mainz 05,26,1996,14.6,91,6.23,34,43,6,1,4,3,11,0.75,6,4,1,0,0,0,2023-2024
13,Nadiem Amiri,GER,['MF'],Leverkusen,26,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
14,Kofi Amoako,GER,['MF'],Wolfsburg,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
15,Robert Andrich,GER,"['MF', 'DF']",Leverkusen,28,1994,18.8,54,2.88,47,0,0,4,2,1,6,0.32,6,0,0,0,0,0,2023-2024
16,Waldemar Anton,GER,['DF'],Stuttgart,27,1996,32.1,39,1.22,33,0,0,4,1,1,9,0.28,8,0,0,1,0,0,2023-2024
17,Christopher Antwi-Adjei,GHA,"['FW', 'MF']",Bochum,29,1994,13.5,48,3.55,31,9,2,3,3,0,4,0.30,4,0,0,0,0,0,2023-2024
18,Asaf Arania,ISR,['MF'],Darmstadt 98,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
19,Maximilian Arnold,GER,['MF'],Wolfsburg,29,1994,27.8,82,2.94,47,28,1,3,2,1,3,0.11,1,0,0,2,0,0,2023-2024
20,Arthur,BRA,['DF'],Leverkusen,20,2003,2.0,7,3.41,5,1,0,0,0,1,2,0.97,2,0,0,0,0,0,2023-2024
21,Takuma Asano,JPN,"['FW', 'MF']",Bochum,28,1994,22.1,65,2.95,44,1,5,8,6,1,5,0.23,3,0,0,2,0,0,2023-2024
