Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
1,Brenden Aaronson,USA,"['MF', 'FW']",Union Berlin,22,2000,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,2023-2024
2,Paxten Aaronson,USA,['MF'],Eint Frankfurt,19,2003,1.1,0,0,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,2023-2024
3,Junior Adamu,AUT,"['FW', 'MF']",Freiburg,22,2001,1.2,0,0,0,7,4,2,1,0,1,0,0,0,10,5,6,45.5,2023-2024
4,Sargis Adamyan,ARM,"['FW', 'MF']",Köln,30,1993,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5,2023-2024
5,Karim Adeyemi,GER,"['FW', 'MF']",Dortmund,21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,2023-2024
6,Amine Adli,MAR,"['MF', 'FW']",Leverkusen,23,2000,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8,2023-2024
7,Felix Agu,NGA,"['DF', 'MF']",Werder Bremen,23,1999,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5,2023-2024
8,Ludovic Ajorque,FRA,['FW'],Mainz 05,29,1994,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2,2023-2024
9,Kevin Akpoguma,NGA,['DF'],Hoffenheim,28,1995,12.2,7,0,0,15,14,0,4,18,18,0,1,0,60,25,21,54.3,2023-2024
10,Faride Alidou,GER,"['FW', 'MF']",Köln,22,2001,14.2,4,0,0,21,23,3,39,8,4,1,1,0,57,18,28,39.1,2023-2024
11,Skelly Alvero,FRA,['MF'],Werder Bremen,21,2002,1.4,1,0,0,2,3,0,0,1,4,0,0,0,9,6,1,85.7,2023-2024
12,Nadiem Amiri,GER,['MF'],Mainz 05,26,1996,14.6,5,0,0,11,32,1,126,14,14,0,0,0,93,10,5,66.7,2023-2024
13,Nadiem Amiri,GER,['MF'],Leverkusen,26,1996,1.0,0,0,0,1,3,0,1,0,2,0,0,0,8,0,0,,2023-2024
14,Kofi Amoako,GER,['MF'],Wolfsburg,18,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
15,Robert Andrich,GER,"['MF', 'DF']",Leverkusen,28,1994,18.8,4,0,0,23,14,0,14,20,18,0,0,0,122,20,22,47.6,2023-2024
16,Waldemar Anton,GER,['DF'],Stuttgart,27,1996,32.1,7,0,0,25,26,0,14,40,25,1,1,1,203,79,42,65.3,2023-2024
17,Christopher Antwi-Adjei,GHA,"['FW', 'MF']",Bochum,29,1994,13.5,5,0,0,13,17,18,55,2,12,0,0,0,53,11,22,33.3,2023-2024
18,Asaf Arania,ISR,['MF'],Darmstadt 98,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
19,Maximilian Arnold,GER,['MF'],Wolfsburg,29,1994,27.8,9,0,0,37,46,0,110,24,31,0,0,0,174,14,30,31.8,2023-2024
20,Arthur,BRA,['DF'],Leverkusen,20,2003,2.0,0,0,0,2,0,0,7,0,3,0,0,0,10,2,3,40.0,2023-2024
21,Takuma Asano,JPN,"['FW', 'MF']",Bochum,28,1994,22.1,2,0,0,15,22,23,37,4,6,0,0,0,74,15,52,22.4,2023-2024
22,Jonathan Asp Jensen,DEN,['FW'],Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
23,Noah Atubolu,GER,['GK'],Freiburg,21,2002,34.0,0,0,0,0,3,0,0,0,0,0,0,0,62,7,0,100.0,2023-2024
24,Matthias Bader,GER,"['DF', 'MF']",Darmstadt 98,26,1997,20.0,1,0,0,17,41,1,32,25,25,0,0,0,121,11,17,39.3,2023-2024
25,Ridle Baku,GER,"['DF', 'MF']",Wolfsburg,25,1998,22.4,4,0,0,24,35,3,54,21,20,0,0,0,124,21,27,43.8,2023-2024
26,Samuel Bamba,GER,['FW'],Dortmund,19,2004,0.5,0,0,0,1,1,0,4,0,1,0,0,0,1,0,0,,2023-2024
27,Aymen Barkok,MAR,"['MF', 'FW']",Mainz 05,25,1998,3.6,2,0,0,15,3,0,13,2,5,0,0,0,18,11,14,44.0,2023-2024
28,Leandro Barreiro Martins,LUX,['MF'],Mainz 05,23,2000,29.0,8,0,0,58,52,3,5,36,40,0,0,0,144,39,63,38.2,2023-2024
29,Daniel Batz,GER,['GK'],Mainz 05,32,1991,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,2023-2024
30,Maximilian Bauer,GER,['DF'],Augsburg,23,2000,9.0,3,0,0,13,11,0,1,11,12,0,0,0,27,17,17,50.0,2023-2024
31,Elias Baum,GER,"['DF', 'MF']",Eint Frankfurt,17,2005,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
32,Oliver Baumann,GER,['GK'],Hoffenheim,33,1990,34.0,1,0,0,1,6,0,0,0,1,0,1,0,102,4,1,80.0,2023-2024
33,Christoph Baumgartner,AUT,"['MF', 'FW']",RB Leipzig,23,1999,12.9,3,0,0,27,27,1,8,5,13,1,0,0,40,20,29,40.8,2023-2024
34,Ihlas Bebou,TOG,"['FW', 'DF']",Hoffenheim,29,1994,18.2,3,0,0,24,21,7,35,14,12,1,0,0,60,32,45,41.6,2023-2024
35,Adrian Beck,GER,"['MF', 'FW']",Heidenheim,26,1997,10.8,1,0,0,14,10,2,6,4,13,0,0,0,76,18,26,40.9,2023-2024
36,Sheraldo Becker,SUR,"['FW', 'MF']",Union Berlin,28,1995,7.2,0,0,0,6,5,4,57,0,3,1,0,0,48,0,8,0.0,2023-2024
37,Chris Bedia,CIV,"['FW', 'MF']",Union Berlin,27,1996,1.6,0,0,0,7,2,0,0,0,1,0,0,0,2,3,7,30.0,2023-2024
38,Donny van de Beek,NED,"['MF', 'FW']",Eint Frankfurt,26,1997,4.0,1,0,0,7,1,5,7,3,3,0,0,0,15,4,5,44.4,2023-2024
39,Kevin Behrens,GER,['FW'],Wolfsburg,32,1991,6.8,1,0,0,8,5,4,4,3,1,0,0,0,15,32,26,55.2,2023-2024
40,Kevin Behrens,GER,['FW'],Union Berlin,32,1991,14.0,3,0,0,22,20,8,6,6,10,0,0,0,36,92,81,53.2,2023-2024
41,Maximilian Beier,GER,"['FW', 'MF']",Hoffenheim,20,2002,26.9,0,0,0,21,32,13,38,9,12,2,0,0,62,20,40,33.3,2023-2024
42,Stefan Bell,GER,['DF'],Mainz 05,31,1991,7.4,3,0,0,10,8,1,1,6,8,0,0,0,38,24,23,51.1,2023-2024
43,Ramy Bensebaini,ALG,['DF'],Dortmund,28,1995,11.5,4,1,1,15,29,0,21,16,21,0,0,1,84,18,13,58.1,2023-2024
44,Mergim Berisha,GER,['FW'],Hoffenheim,25,1998,1.6,0,0,0,5,2,1,2,0,0,0,0,0,8,2,9,18.2,2023-2024
45,Mergim Berisha,GER,['FW'],Augsburg,25,1998,1.4,0,0,0,0,3,1,1,0,0,0,0,0,1,2,1,66.7,2023-2024
46,Bernardo,BRA,['DF'],Bochum,28,1995,32.5,9,0,0,54,28,2,30,55,58,0,2,0,197,145,81,64.2,2023-2024
47,Matúš Bero,SVK,"['MF', 'FW']",Bochum,27,1995,18.5,6,0,0,38,20,5,16,12,22,1,0,0,97,12,37,24.5,2023-2024
48,Jan-Niklas Beste,GER,"['FW', 'MF']",Heidenheim,24,1999,28.9,4,0,0,28,51,4,279,18,49,1,0,0,133,8,20,28.6,2023-2024
49,Pep Biel,ESP,"['MF', 'FW']",Augsburg,26,1996,3.2,1,0,0,8,0,0,14,2,3,0,0,0,19,3,3,50.0,2023-2024
50,Tom Bischof,GER,"['MF', 'FW']",Hoffenheim,18,2005,2.0,0,0,0,1,1,2,11,1,4,0,0,0,11,1,1,50.0,2023-2024
51,Leonardo Bittencourt,GER,['MF'],Werder Bremen,29,1993,17.5,9,0,0,34,31,2,40,13,18,0,0,0,110,6,16,27.3,2023-2024
52,Hendry Blank,GER,['DF'],Dortmund,18,2004,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0,2023-2024
53,Janis Blaswich,GER,['GK'],RB Leipzig,32,1991,21.0,0,0,0,0,2,0,0,0,1,0,0,0,42,7,2,77.8,2023-2024
54,Sacha Boey,FRA,['DF'],Bayern Munich,22,2000,1.2,1,0,0,6,3,0,0,1,0,0,0,0,6,1,2,33.3,2023-2024
55,Victor Boniface,NGA,['FW'],Leverkusen,22,2000,17.2,2,0,0,16,17,18,3,0,4,0,0,0,31,27,18,60.0,2023-2024
56,Leonardo Bonucci,ITA,['DF'],Union Berlin,36,1987,5.1,0,0,0,2,1,0,6,7,5,0,1,0,32,5,7,41.7,2023-2024
57,Yvandro Borges Sanches,LUX,"['MF', 'FW']",Gladbach,19,2004,0.2,0,0,0,2,2,0,3,0,0,1,0,0,2,0,1,0.0,2023-2024
58,Sebastiaan Bornauw,BEL,['DF'],Wolfsburg,24,1999,15.9,5,0,0,27,5,1,1,18,12,0,0,2,66,29,24,54.7,2023-2024
59,Rafael Borré,COL,['FW'],Werder Bremen,27,1995,11.0,0,0,0,17,8,14,12,2,7,0,0,0,34,26,31,45.6,2023-2024
60,Julian Brandt,GER,"['MF', 'FW']",Dortmund,27,1996,24.7,2,0,0,8,15,5,165,8,14,0,0,0,117,9,28,24.3,2023-2024
61,Fabian Bredlow,GER,['GK'],Stuttgart,28,1995,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,2023-2024
62,Tim Breithaupt,GER,['MF'],Augsburg,21,2002,7.0,3,0,0,12,4,0,2,8,11,0,0,0,48,11,7,61.1,2023-2024
63,Maximilian Breunig,GER,['FW'],Freiburg,22,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,25.0,2023-2024
64,Bennit Bröger,GER,['FW'],Wolfsburg,17,2006,0.1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0,2023-2024
65,John Brooks,USA,['DF'],Hoffenheim,30,1993,17.1,6,1,0,16,13,1,3,27,15,0,0,0,95,45,21,68.2,2023-2024
66,Moritz Broschinski,GER,['FW'],Bochum,22,2000,13.9,4,0,0,32,13,11,12,0,7,0,0,0,40,34,102,25.0,2023-2024
67,Alexander Brunst,GER,['GK'],Darmstadt 98,28,1995,3.0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,,2023-2024
68,Marius Bülter,GER,"['DF', 'FW']",Hoffenheim,30,1993,15.0,3,1,1,13,17,4,73,10,11,0,1,0,85,24,31,43.6,2023-2024
69,Jonathan Burkardt,GER,"['FW', 'MF']",Mainz 05,23,2000,17.1,2,0,0,19,36,3,33,3,8,0,0,0,65,13,73,15.1,2023-2024
70,Oliver Burke,SCO,['FW'],Werder Bremen,26,1997,0.4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,2023-2024
71,Marnon Busch,GER,['DF'],Heidenheim,28,1994,6.6,1,0,0,9,4,0,26,10,9,0,0,0,33,8,15,34.8,2023-2024
72,Aurélio Buta,POR,"['DF', 'MF']",Eint Frankfurt,26,1997,19.4,5,0,0,23,23,1,46,15,25,0,0,0,94,29,20,59.2,2023-2024
73,Anthony Caci,FRA,['DF'],Mainz 05,26,1997,27.6,8,0,0,34,15,0,73,32,23,0,1,0,173,29,29,50.0,2023-2024
74,Emre Can,GER,"['MF', 'DF']",Dortmund,29,1994,21.7,5,0,0,27,23,0,2,22,45,0,0,0,156,29,21,58.0,2023-2024
75,Irvin Cardona,MLT,"['MF', 'DF']",Augsburg,25,1997,0.6,1,0,0,1,0,0,6,0,1,0,0,0,1,1,2,33.3,2023-2024
