player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Luis Díaz,28,['Colombia'],LW,€70.00m,Liverpool FC,Bayern Munich,€70.00m,25/26
Jonathan Tah,29,"['Germany', ""Cote d'Ivoire""]",CB,€30.00m,Bayer 04 Leverkusen,Bayern Munich,€2.00m,25/26
Tom Bischof,19,['Germany'],CM,€30.00m,TSG 1899 Hoffenheim,Bayern Munich,€300k,25/26
Mathys Tel,20,"['France', 'Guadeloupe']",CF,€35.00m,Bayern Munich,Tottenham Hotspur,€35.00m,25/26
Kingsley Coman,29,"['France', 'Guadeloupe']",LW,€30.00m,Bayern Munich,Al-Nassr FC,€25.00m,25/26
Paul Wanner,19,"['Germany', 'Austria']",AM,€18.00m,Bayern Munich,PSV Eindhoven,€15.00m,25/26
Adam Aznou,19,"['Morocco', 'Spain']",LB,€4.00m,Bayern Munich,Everton FC,€9.00m,25/26
Frans Krätzig,22,['Germany'],LB,€2.00m,Bayern Munich,Red Bull Salzburg,€3.50m,25/26
Gabriel Vidovic,21,"['Croatia', 'Germany']",LW,€3.00m,Bayern Munich,GNK Dinamo Zagreb,€1.20m,25/26
Eric Dier,31,"['England', 'Portugal']",CB,€8.00m,Bayern Munich,AS Monaco,free transfer,25/26
Leroy Sané,29,"['Germany', 'France']",RW,€32.00m,Bayern Munich,Galatasaray,free transfer,25/26
Thomas Müller,35,['Germany'],SS,€6.00m,Bayern Munich,Vancouver Whitecaps FC,free transfer,25/26
Jarell Quansah,22,"['England', 'Scotland']",CB,€20.00m,Liverpool FC,Bayer 04 Leverkusen,€35.00m,25/26
Malik Tillman,23,"['United States', 'Germany']",AM,€32.00m,PSV Eindhoven,Bayer 04 Leverkusen,€35.00m,25/26
Eliesse Ben Seghir,20,"['Morocco', 'France']",LW,€28.00m,AS Monaco,Bayer 04 Leverkusen,€32.00m,25/26
Equi Fernández,23,"['Argentina', 'Paraguay']",DM,€12.00m,Al-Qadsiah FC,Bayer 04 Leverkusen,€25.00m,25/26
Loïc Badé,25,"['France', ""Cote d'Ivoire""]",CB,€25.00m,Sevilla FC,Bayer 04 Leverkusen,€25.00m,25/26
Ibrahim Maza,19,"['Algeria', 'Germany']",AM,€12.00m,Hertha BSC,Bayer 04 Leverkusen,€12.00m,25/26
Mark Flekken,32,['Netherlands'],GK,€10.00m,Brentford FC,Bayer 04 Leverkusen,€11.00m,25/26
Ernest Poku,21,"['Netherlands', 'Ghana']",RW,€4.00m,AZ Alkmaar,Bayer 04 Leverkusen,€10.00m,25/26
Christian Kofane,18,['Cameroon'],CF,€5.00m,Albacete Balompié,Bayer 04 Leverkusen,€5.25m,25/26
Abdoulaye Faye,20,['Senegal'],CB,€2.00m,BK Häcken,Bayer 04 Leverkusen,€2.70m,25/26
