Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,Max Aarons,ENG,"['DF', 'MF']",Valencia,24,2000,1.3,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
2,Rodrigo Abajas,ESP,['DF'],Valencia,21,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
3,Nabil Aberdin,FRA,['MF'],Getafe,21,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
4,Abdel Abqar,MAR,['DF'],Alavés,25,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,2024-2025
5,Akor Adams,NGA,['FW'],Sevilla,24,2000,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
6,Adrián,ESP,['GK'],Betis,37,1987,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
7,Julen Agirrezabala,ESP,['GK'],Athletic Club,23,2000,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
8,Lucien Agoume,FRA,['MF'],Sevilla,22,2002,23.5,60,2.55,57,0,1,1,0,1,5,0.21,4,0,0,1,0,0,2024-2025
9,Álvaro Aguado,ESP,['MF'],Espanyol,28,1996,4.9,16,3.25,13,1,1,1,0,0,1,0.20,1,0,0,0,0,0,2024-2025
10,Lorenzo Aguado,ESP,['DF'],Real Madrid,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
11,Nayef Aguerd,MAR,['DF'],Real Sociedad,28,1996,19.6,16,0.82,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0,2024-2025
12,Joseph Aidoo,GHA,['DF'],Valladolid,28,1995,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
13,Joseph Aidoo,GHA,['DF'],Celta Vigo,28,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
14,Ilias Akhomach,MAR,"['MF', 'FW']",Villarreal,20,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,2024-2025
15,David Alaba,AUT,['DF'],Real Madrid,32,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
16,Ibrahim Alani,NGA,['MF'],Valladolid,18,2006,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
17,Raúl Albiol,ESP,['DF'],Villarreal,38,1985,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,2024-2025
18,Omar Alderete,PAR,['DF'],Getafe,27,1996,33.0,37,1.12,28,1,1,5,1,1,4,0.12,2,0,0,1,1,0,2024-2025
19,Carles Aleñá,ESP,"['MF', 'FW']",Getafe,26,1998,5.0,8,1.60,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
20,Carles Aleñá,ESP,"['MF', 'FW']",Alavés,26,1998,12.1,44,3.64,27,7,3,3,4,0,4,0.33,2,1,0,0,1,0,2024-2025
21,Alfon,ESP,"['FW', 'MF']",Celta Vigo,25,1999,15.2,59,3.87,32,0,12,9,6,0,7,0.46,4,0,0,2,1,0,2024-2025
22,Tadeo Allende,ARG,['FW'],Celta Vigo,25,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
23,Domingos André Ribeiro Almeida,POR,"['MF', 'FW']",Valencia,24,2000,22.0,86,3.92,54,17,1,3,9,2,6,0.27,5,1,0,0,0,0,2024-2025
24,Iker Almena,ESP,"['FW', 'DF']",Girona,20,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0,2024-2025
25,Marcos Alonso,ESP,['DF'],Celta Vigo,33,1990,29.4,46,1.56,38,3,1,3,0,1,6,0.20,6,0,0,0,0,0,2024-2025
26,Adrià Altimira,ESP,"['DF', 'FW']",Leganés,23,2001,18.1,21,1.16,14,1,1,0,5,0,1,0.06,1,0,0,0,0,0,2024-2025
27,Sergi Altimira,ESP,['MF'],Betis,22,2001,21.9,52,2.37,40,0,3,2,1,6,1,0.05,1,0,0,0,0,0,2024-2025
28,Hugo Álvarez,ESP,"['MF', 'DF']",Celta Vigo,21,2003,17.5,46,2.63,38,0,5,3,0,0,9,0.52,7,0,2,0,0,0,2024-2025
29,Julián Álvarez,ARG,['FW'],Atlético Madrid,24,2000,27.9,108,3.87,76,9,9,9,2,3,15,0.54,10,1,0,3,0,1,2024-2025
30,Yeray Álvarez,ESP,['DF'],Athletic Club,29,1995,19.8,18,0.91,15,0,0,0,0,3,2,0.10,2,0,0,0,0,0,2024-2025
31,Selim Amallah,MAR,['MF'],Valladolid,27,1996,15.3,32,2.09,16,8,6,1,0,1,1,0.07,1,0,0,0,0,0,2024-2025
32,Amath,SEN,"['FW', 'DF']",Valladolid,28,1996,4.2,13,3.11,10,0,2,1,0,0,1,0.24,1,0,0,0,0,0,2024-2025
33,Marcos André,BRA,['FW'],Valladolid,27,1996,13.2,19,1.44,15,0,3,0,1,0,1,0.08,1,0,0,0,0,0,2024-2025
34,Leandro Antonetti,PUR,['FW'],Sevilla,21,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
35,Antoniu,ESP,"['FW', 'MF']",Espanyol,21,2002,11.4,24,2.11,11,0,6,0,5,2,1,0.09,1,0,0,0,0,0,2024-2025
36,Antony,BRA,['FW'],Betis,24,2000,15.1,77,5.09,61,4,5,4,3,0,9,0.60,6,0,1,2,0,0,2024-2025
