Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Max Aarons,ENG,"['DF', 'MF']",Valencia,24,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
2,Rodrigo Abajas,ESP,['DF'],Valencia,21,2003,0.7,0,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2024-2025
3,Nabil Aberdin,FRA,['MF'],Getafe,21,2002,2.9,0,2,0,0.0,0.68,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.02,0.0,0.0,2024-2025
4,Abdel Abqar,MAR,['DF'],Alavés,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.00,0.00,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,2024-2025
5,Akor Adams,NGA,['FW'],Sevilla,24,2000,1.5,0,2,1,50.0,1.34,0.67,0.00,0.00,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,2024-2025
6,Adrián,ESP,['GK'],Betis,37,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
7,Julen Agirrezabala,ESP,['GK'],Athletic Club,23,2000,13.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
8,Lucien Agoume,FRA,['MF'],Sevilla,22,2002,23.5,1,10,2,20.0,0.43,0.09,0.10,0.50,15.0,0,0,0,0.9,0.9,0.09,+0.1,+0.1,2024-2025
9,Álvaro Aguado,ESP,['MF'],Espanyol,28,1996,4.9,0,10,1,10.0,2.03,0.20,0.00,0.00,23.0,1,0,0,0.6,0.6,0.06,-0.6,-0.6,2024-2025
10,Lorenzo Aguado,ESP,['DF'],Real Madrid,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
11,Nayef Aguerd,MAR,['DF'],Real Sociedad,28,1996,19.6,0,15,5,33.3,0.77,0.26,0.00,0.00,11.5,0,0,0,2.4,2.4,0.16,-2.4,-2.4,2024-2025
12,Joseph Aidoo,GHA,['DF'],Valladolid,28,1995,6.5,0,1,0,0.0,0.15,0.00,0.00,,10.3,0,0,0,0.0,0.0,0.04,0.0,0.0,2024-2025
13,Joseph Aidoo,GHA,['DF'],Celta Vigo,28,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
14,Ilias Akhomach,MAR,"['MF', 'FW']",Villarreal,20,2004,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,23.3,0,0,0,0.6,0.6,0.03,+0.4,+0.4,2024-2025
15,David Alaba,AUT,['DF'],Real Madrid,32,1992,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
16,Ibrahim Alani,NGA,['MF'],Valladolid,18,2006,1.8,0,1,0,0.0,0.56,0.00,0.00,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0,2024-2025
17,Raúl Albiol,ESP,['DF'],Villarreal,38,1985,13.2,0,2,0,0.0,0.15,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2024-2025
18,Omar Alderete,PAR,['DF'],Getafe,27,1996,33.0,1,38,10,26.3,1.15,0.30,0.03,0.10,21.9,7,0,0,1.7,1.7,0.04,-0.7,-0.7,2024-2025
19,Carles Aleñá,ESP,"['MF', 'FW']",Getafe,26,1998,5.0,0,5,1,20.0,1.00,0.20,0.00,0.00,13.7,0,0,0,0.9,0.9,0.18,-0.9,-0.9,2024-2025
20,Carles Aleñá,ESP,"['MF', 'FW']",Alavés,26,1998,12.1,0,15,4,26.7,1.24,0.33,0.00,0.00,19.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,2024-2025
21,Alfon,ESP,"['FW', 'MF']",Celta Vigo,25,1999,15.2,5,46,19,41.3,3.02,1.25,0.11,0.26,17.3,0,0,0,4.6,4.6,0.10,+0.4,+0.4,2024-2025
22,Tadeo Allende,ARG,['FW'],Celta Vigo,25,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2024-2025
23,Domingos André Ribeiro Almeida,POR,"['MF', 'FW']",Valencia,24,2000,22.0,0,18,5,27.8,0.82,0.23,0.00,0.00,24.1,2,0,0,1.2,1.2,0.07,-1.2,-1.2,2024-2025
24,Iker Almena,ESP,"['FW', 'DF']",Girona,20,2004,0.5,0,1,0,0.0,1.87,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,2024-2025
25,Marcos Alonso,ESP,['DF'],Celta Vigo,33,1990,29.4,3,31,10,32.3,1.05,0.34,0.00,0.00,20.3,7,3,3,4.0,1.6,0.05,-1.0,-1.6,2024-2025
26,Adrià Altimira,ESP,"['DF', 'FW']",Leganés,23,2001,18.1,0,7,2,28.6,0.39,0.11,0.00,0.00,24.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,2024-2025
27,Sergi Altimira,ESP,['MF'],Betis,22,2001,21.9,0,21,4,19.0,0.96,0.18,0.00,0.00,21.2,0,0,0,1.7,1.6,0.08,-1.7,-1.6,2024-2025
