player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Julián Alvarez,24,"['Argentina', 'Italy']",CF,€90.00m,Manchester City,Atlético de Madrid,€75.00m,24/25
Conor Gallagher,24,['England'],CM,€50.00m,Chelsea FC,Atlético de Madrid,€42.00m,24/25
Robin Le Normand,27,"['Spain', 'France']",CB,€40.00m,Real Sociedad,Atlético de Madrid,€34.50m,24/25
Alexander Sørloth,28,['Norway'],CF,€25.00m,Villarreal CF,Atlético de Madrid,€32.00m,24/25
João Félix,24,['Portugal'],SS,€30.00m,Atlético de Madrid,Chelsea FC,€52.00m,24/25
Samu Aghehowa,20,"['Spain', 'Nigeria']",CF,€35.00m,Atlético de Madrid,FC Porto,€32.00m,24/25
Álvaro Morata,31,['Spain'],CF,€16.00m,Atlético de Madrid,AC Milan,€17.20m,24/25
Çağlar Söyüncü,28,['Türkiye'],CB,€10.00m,Atlético de Madrid,Fenerbahce,€8.50m,24/25
Santiago Mouriño,22,"['Uruguay', 'Spain']",RB,€1.20m,Atlético de Madrid,Deportivo Alavés,€2.00m,24/25
Germán Valera,22,"['Spain', 'Lithuania']",RW,€2.00m,Atlético de Madrid,Valencia CF,€25k,24/25
Gabriel Paulista,33,"['Brazil', 'Spain']",CB,€2.00m,Atlético de Madrid,Besiktas JK,free transfer,24/25
Stefan Savic,33,"['Montenegro', 'Serbia']",CB,€2.50m,Atlético de Madrid,Trabzonspor,free transfer,24/25
Marcos Paulo,23,"['Portugal', 'Brazil']",LW,€500k,Atlético de Madrid,Boavista SC,free transfer,24/25
Vitolo,34,['Spain'],LW,€100k,Atlético de Madrid,Without Club,-,24/25
Memphis Depay,30,"['Netherlands', 'Ghana']",CF,€10.00m,Atlético de Madrid,Without Club,-,24/25
Mario Hermoso,29,['Spain'],CB,€25.00m,Atlético de Madrid,Without Club,-,24/25
Dani Olmo,26,['Spain'],AM,€60.00m,RB Leipzig,FC Barcelona,€55.00m,24/25
Pau Víctor,22,['Spain'],CF,€1.50m,Girona FC,FC Barcelona,€5.50m,24/25
