Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,Blocks,blocked_Sh,blocked_Pass,Int,Tkl+Int,Clr,Err,Season
1,Keyliane Abdallah,FRA,['FW'],Marseille,18,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,2024-2025
2,Yunis Abdelhamid,MAR,['DF'],Saint-Étienne,36,1987,11.5,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1,2024-2025
3,Himad Abdelli,ALG,"['MF', 'FW']",Angers,24,1999,31.6,48,32,13,20,15,15,48,31.3,33,24,1,23,26,74,28,2,2024-2025
4,Mohamed Abdelmoneim,EGY,['DF'],Nice,25,1999,9.5,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,2024-2025
5,Ali Abdi,TUN,"['DF', 'MF']",Nice,30,1993,15.5,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,2024-2025
6,Matthis Abline,FRA,['FW'],Nantes,21,2003,30.8,11,5,2,4,5,3,9,33.3,6,15,1,14,4,15,36,1,2024-2025
7,Abner,BRA,['DF'],Lyon,24,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0,2024-2025
8,Zakaria Aboukhlal,MAR,"['MF', 'FW']",Toulouse,24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0,2024-2025
9,Akor Adams,NGA,['FW'],Montpellier,24,2000,11.9,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,2024-2025
10,Martin Adeline,FRA,['MF'],Reims,20,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,2024-2025
11,Adryelson,BRA,['DF'],Lyon,26,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,2024-2025
12,Emmanuel Agbadou,CIV,['DF'],Reims,27,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,2024-2025
13,Jeremy Agbonifo,SWE,"['FW', 'MF']",Lens,18,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1,2024-2025
14,Ruben Aguilar,FRA,"['DF', 'MF']",Lens,31,1993,12.5,34,18,17,12,5,24,39,61.5,15,25,3,22,13,47,23,0,2024-2025
15,Naouirou Ahamada,FRA,"['MF', 'FW']",Rennes,22,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,2024-2025
16,Jean-Eudes Aholou,CIV,['MF'],Angers,30,1994,21.8,56,36,26,20,10,22,48,45.8,26,34,14,20,33,89,32,0,2024-2025
17,Ayman Aiki,FRA,"['FW', 'MF']",Saint-Étienne,19,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,2024-2025
18,Ludovic Ajorque,FRA,['FW'],Brest,30,1994,27.7,26,19,3,12,11,10,32,31.3,22,20,5,15,6,32,26,0,2024-2025
19,Ümit Akdag,ROU,['DF'],Toulouse,20,2003,5.6,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,2024-2025
20,Sergio Akieme,ESP,['DF'],Reims,26,1997,28.0,34,23,30,3,1,22,36,61.1,14,26,9,17,17,51,97,4,2024-2025
21,Maghnes Akliouche,FRA,"['FW', 'MF']",Monaco,22,2002,26.7,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0,2024-2025
22,Paul Akouokou,CIV,['MF'],Lyon,26,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1,2024-2025
23,Clément Akpa,CIV,['DF'],Auxerre,22,2001,27.6,55,34,36,12,7,31,46,67.4,15,38,14,24,42,97,141,2,2024-2025
24,Chuba Akpom,ENG,['FW'],Lille,28,1995,7.1,8,5,0,4,4,2,6,33.3,4,9,0,9,0,8,3,0,2024-2025
25,Mohamed Ali Cho,FRA,"['FW', 'MF']",Nice,20,2004,18.0,13,9,4,5,4,4,12,33.3,8,17,1,16,5,18,8,0,2024-2025
26,Jim Allevinah,GAB,['FW'],Angers,29,1995,19.4,19,11,6,9,4,5,28,17.9,23,10,0,10,12,31,17,0,2024-2025
27,Thiago Almada,ARG,"['MF', 'FW']",Lyon,23,2001,10.6,14,8,7,5,2,7,21,33.3,14,2,0,2,7,21,6,3,2024-2025
28,Jordan Amavi,FRA,['DF'],Brest,30,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,2024-2025
29,Kelvin Amian,FRA,['DF'],Nantes,26,1998,24.1,55,31,40,14,1,29,35,82.9,6,18,11,7,13,68,85,0,2024-2025
30,Michael Amir Murillo,PAN,['DF'],Marseille,28,1996,27.1,49,31,30,13,6,32,46,69.6,14,21,8,13,18,67,70,4,2024-2025
31,Samuel Amo-Ameyaw,ENG,"['DF', 'MF']",Strasbourg,18,2006,3.6,5,3,3,2,0,2,9,22.2,7,3,0,3,3,8,2,0,2024-2025
32,Mathis Amougou,FRA,['MF'],Saint-Étienne,18,2006,9.5,21,15,15,5,1,10,19,52.6,9,10,0,10,12,33,4,0,2024-2025
33,Benjamin André,FRA,['MF'],Lille,33,1990,29.9,103,57,31,60,12,54,96,56.3,42,42,6,36,48,151,56,0,2024-2025
34,Kyllian Antonio,FRA,"['DF', 'MF']",Lens,16,2008,1.5,3,2,2,0,1,1,3,33.3,2,3,0,3,3,6,3,1,2024-2025
35,Dennis Appiah,FRA,['DF'],Saint-Étienne,32,1992,23.6,71,43,42,22,7,41,71,57.7,30,36,8,28,29,100,89,2,2024-2025
36,Carlens Arcus,HAI,['DF'],Angers,28,1996,22.7,52,35,32,15,5,34,56,60.7,22,24,4,20,27,79,83,3,2024-2025
37,Hákon Arnar Haraldsson,ISL,"['MF', 'FW']",Lille,21,2003,19.5,36,16,9,17,10,16,33,48.5,17,10,2,8,8,44,6,0,2024-2025
38,Marco Asensio,ESP,"['FW', 'MF']",Paris S-G,28,1996,6.9,4,3,1,3,0,0,6,0.0,6,1,0,1,0,4,1,0,2024-2025
39,Lorenz Assignon,TOG,"['DF', 'MF']",Rennes,24,2000,26.2,49,27,25,22,2,19,43,44.2,24,20,3,17,25,74,74,0,2024-2025
40,Dehmaine Assoumani,FRA,"['MF', 'FW']",Nantes,19,2005,1.1,6,3,0,4,2,4,5,80.0,1,1,0,1,1,7,4,0,2024-2025
