player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Randal Kolo Muani,24,"['France', 'DR Congo']",CF,€80.00m,Eintracht Frankfurt,Paris Saint-Germain,€95.00m,23/24
Gonçalo Ramos,22,['Portugal'],CF,€50.00m,SL Benfica,Paris Saint-Germain,€65.00m,23/24
Manuel Ugarte,22,['Uruguay'],DM,€50.00m,Sporting CP,Paris Saint-Germain,€60.00m,23/24
Ousmane Dembélé,26,['France'],CF,€60.00m,FC Barcelona,Paris Saint-Germain,€50.00m,23/24
Lucas Hernández,27,"['France', 'Spain']",LB,€45.00m,Bayern Munich,Paris Saint-Germain,€45.00m,23/24
Bradley Barcola,20,"['France', 'Togo']",LW,€18.00m,Olympique Lyon,Paris Saint-Germain,€45.00m,23/24
Hugo Ekitiké,21,"['France', 'Cameroon']",CF,€20.00m,Stade Reims,Paris Saint-Germain,€28.50m,23/24
Kang-in Lee,22,"['Korea, South']",AM,€22.00m,RCD Mallorca,Paris Saint-Germain,€22.00m,23/24
Lucas Beraldo,20,['Brazil'],CB,€15.00m,São Paulo Futebol Clube,Paris Saint-Germain,€20.00m,23/24
Gabriel Moscardo,18,['Brazil'],DM,€15.00m,Sport Club Corinthians Paulista,Paris Saint-Germain,€20.00m,23/24
Xavi Simons,20,"['Netherlands', 'Suriname']",AM,€40.00m,PSV Eindhoven,Paris Saint-Germain,€4.00m,23/24
Arnau Tenas,22,['Spain'],GK,€5.00m,FC Barcelona Atlètic,Paris Saint-Germain,free transfer,23/24
Cher Ndour,18,"['Italy', 'Senegal']",CM,€1.50m,SL Benfica B,Paris Saint-Germain,free transfer,23/24
Marco Asensio,27,"['Spain', 'Netherlands']",AM,€25.00m,Real Madrid,Paris Saint-Germain,free transfer,23/24
Milan Škriniar,28,['Slovakia'],CB,€50.00m,Inter Milan,Paris Saint-Germain,free transfer,23/24
Neymar,31,['Brazil'],AM,€60.00m,Paris Saint-Germain,Al-Hilal SFC,€90.00m,23/24
Marco Verratti,30,['Italy'],CM,€40.00m,Paris Saint-Germain,Al-Arabi SC,€45.00m,23/24
El Chadaille Bitshiabu,18,"['France', 'DR Congo']",CB,€7.00m,Paris Saint-Germain,RB Leipzig,€15.00m,23/24
Abdou Diallo,27,"['Senegal', 'France']",CB,€10.00m,Paris Saint-Germain,Al-Arabi SC,€15.00m,23/24
Mauro Icardi,30,"['Argentina', 'Italy']",CF,€19.00m,Paris Saint-Germain,Galatasaray,€10.00m,23/24
Julian Draxler,29,['Germany'],LW,€6.00m,Paris Saint-Germain,Al-Ahli SC,€9.00m,23/24
Georginio Wijnaldum,32,"['Netherlands', 'Suriname']",CM,€8.00m,Paris Saint-Germain,Al-Ettifaq FC,€8.00m,23/24
Junior Dina Ebimbe,22,"['France', 'Cameroon']",RM,€10.00m,Paris Saint-Germain,Eintracht Frankfurt,€6.50m,23/24
Leandro Paredes,29,['Argentina'],DM,€12.00m,Paris Saint-Germain,AS Roma,€5.65m,23/24
Djeidi Gassama,19,"['France', 'Mauritania']",LW,€650k,Paris Saint-Germain,Sheffield Wednesday,€1.00m,23/24
Timothée Pembélé,20,"['France', 'DR Congo']",RB,€5.00m,Paris Saint-Germain,Sunderland AFC,€1.00m,23/24
Kenny Nagera,21,"['France', 'Guadeloupe']",LW,€300k,Paris Saint-Germain,FC Differdange 03,free transfer,23/24
Mathyas Randriamamy,20,"['Madagascar', 'France']",GK,-,Paris Saint-Germain,Ermis Aradippou,free transfer,23/24
Sergio Ramos,37,['Spain'],CB,€4.50m,Paris Saint-Germain,Sevilla FC,free transfer,23/24
Lionel Messi,36,"['Argentina', 'Spain']",RW,€35.00m,Paris Saint-Germain,Inter Miami CF,free transfer,23/24
Moutanabi Bodiang,20,"['France', 'Senegal']",RB,€100k,Paris Saint-Germain,Without Club,-,23/24
Anfane Ahamada,21,"['Comoros', 'France']",DM,€100k,Paris Saint-Germain,Without Club,-,23/24
Elye Wahi,20,"['France', ""Cote d'Ivoire""]",CF,€35.00m,Montpellier HSC,RC Lens,€30.00m,23/24
Andy Diouf,20,"['France', 'Senegal']",CM,€7.00m,FC Basel 1893,RC Lens,€14.00m,23/24
Angelo Fulgini,26,"['France', 'Neukaledonien']",AM,€9.00m,1.FSV Mainz 05,RC Lens,€7.20m,23/24
Óscar Cortés,19,['Colombia'],LW,€4.20m,Millonarios FC,RC Lens,€4.50m,23/24
Morgan Guilavogui,25,"['Guinea', 'France']",RW,€2.50m,Paris FC,RC Lens,€4.00m,23/24
Ruben Aguilar,30,"['France', 'Spain']",RB,€7.00m,AS Monaco,RC Lens,€3.50m,23/24
Neil El Aynaoui,21,"['Morocco', 'France']",CM,€700k,AS Nancy-Lorraine,RC Lens,€600k,23/24
Abdukodir Khusanov,19,['Uzbekistan'],CB,€400k,Energetik-BGU Minsk,RC Lens,€450k,23/24
Stijn Spierings,27,['Netherlands'],CM,€6.00m,FC Toulouse,RC Lens,free transfer,23/24
Nampalys Mendy,31,"['Senegal', 'France']",DM,€2.50m,Without Club,RC Lens,-,23/24
