Player,Pos,Team Currently With,Age At Signing,Start,End,Yrs,Value,AAV
Gabriel Martinelli,F,AFC,17,2019,2027,5,"£23,400,000","£4,680,000"
Ayoze Perez,F,LC,25,2019,2022,4,"£9,360,000","£2,340,000"
Onel Hernández,F,NCFC,25,2019,2022,4,"£4,560,000","£1,140,000"
Oliver McBurnie,F,SUFC,22,2019,2023,4,"£4,160,000","£1,040,000"
Lys Mousset,F,SUFC,22,2019,2021,3,"£3,900,000","£1,300,000"
Andy Carroll,F,NUFC,29,2019,2020,1,"£3,900,000","£3,900,000"
Teemu Pukki,F,NCFC,28,2019,2022,3,"£3,900,000","£1,300,000"
Kamil Grosicki,F,WBAFC,30,2019,2020,2,"£2,600,000","£1,300,000"
Adam Idah,F,NCFC,17,2019,2023,5,"£1,300,000","£260,000"
Josip Drmic,F,NCFC,26,2019,2021,3,,
Sam Vokes,F,SCFC,29,2019,2021,3,,
Tom Eaves,F,HCFC,26,2019,2022,3,,
Albert Adomah,F,NFFC,31,2019,2020,2,,
Odion Ighalo,F,MUFC,29,2019,2020,1,,
Rafa Mújica,F,LUFC,20,2019,2021,3,,
Joseph Hungbo,F,WAT,18,2019,2021,3,,
Bernardo Silva,M,MCFC,24,2019,2025,6,"£46,800,000","£7,800,000"
Andre Gomes,M,EFC,25,2019,2023,5,"£29,175,000","£5,835,000"
Bobby Reid,M,LEI,25,2019,2024,4,"£7,800,000","£1,950,000"
Mark Noble,M,WHUFC,31,2019,2021,2,"£5,200,000","£2,600,000"
Todd Cantwell,M,NCFC,20,2019,2022,3,"£3,900,000","£1,300,000"
Lukas Rupp,M,NCFC,27,2019,2021,3,"£3,510,000","£1,170,000"
Daniel Amartey,M,LC,24,2019,2022,3,"£3,276,000","£1,092,000"
Matt Phillips,M,WBAFC,27,2019,2021,3,"£3,120,000","£1,040,000"
Jota Peleteiro,M,AVFC,27,2019,2020,2,"£2,600,000","£1,300,000"
Ahmed Elmohamady,M,AVFC,31,2019,2020,2,"£2,600,000","£1,300,000"
Romaine Sawyers,M,WBAFC,27,2019,2022,3,"£1,950,000","£650,000"
Rekeem Harper,M,WBAFC,18,2019,2021,3,"£1,560,000","£520,000"
Stefan Johansen,M,FFC,27,2019,2021,3,"£1,560,000","£520,000"
Beram Kayal,M,BHA,30,2019,2019,1,"£1,300,000","£1,300,000"
Jack Jenkins,M,LUFC,17,2019,2022,4,,
Tudor Baluta,M,BHA,19,2019,2021,3,,
Ryan Kent,M,QPRFC,22,2019,2022,4,,
Ryotaro Meshino,M,MCFC,20,2019,2021,3,,
Ibrahim Amadou,M,NCFC,25,2019,2019,1,,
Victor Camarasa,M,CP,24,2019,2019,1,,
Tom Dele-Bashiru,M,WAT,19,2019,2024,6,,
Craig Cathcart,D,WAT,29,2019,2022,4,"£4,780,000","£1,195,000"
Christoph Zimmermann,D,NCFC,25,2019,2023,4,"£4,040,000","£1,010,000"
Phil Bardsley,D,BFC,33,2019,2021,3,"£3,900,000","£1,300,000"
Pablo Zabaleta,D,WHUFC,33,2019,2019,1,"£3,900,000","£3,900,000"
Darnell Furlong,D,WBAFC,23,2019,2022,4,"£3,848,000","£962,000"
Semi Ajayi,D,WBAFC,25,2019,2022,4,"£3,432,000","£858,000"
Liam Cooper,D,LUFC,27,2019,2023,5,"£1,690,000","£338,000"
Luke Ayling,D,LUFC,,2019,2023,4,"£1,664,000","£416,000"
George Baldock,D,SUFC,30,2019,2023,5,"£1,050,000","£210,000"
Gaetan Bong,D,BHA,30,2019,2019,1,"£1,050,000","£1,050,000"
Yan Valery,D,SFC,19,2019,2022,4,"£416,000","£104,000"
Rocky Bushiri,D,NCFC,19,2019,2022,4,,
Djibril Sidibe,D,EFC,26,2019,2019,1,,
Jetro Willems,D,NUFC,24,2019,2019,1,,
Callum Elder,D,HCFC,23,2019,2022,3,,
Sam McCallum,D,NCFC,18,2019,2023,5,,
Luke Matheson,D,WWFC,16,2019,2021,3,,
Krystian Bielik,D,DCFC,20,2019,2023,5,,
Jesus Vallejo,D,WWFC,21,2019,2019,1,,
Herbert Bockhorn,D,HUD,23,2019,2020,2,,
Akin Famewo,D,NCFC,20,2019,2022,4,,
Michael Verrips,GK,SUFC,22,2019,2022,4,"£4,160,000","£1,040,000"
Artur Boruc,GK,BOU,38,2019,2019,1,"£2,080,000","£2,080,000"
Heurelho Gomes,GK,WAT,37,2019,2019,1,"£1,820,000","£1,820,000"
Michael McGovern,GK,NCFC,34,2019,2022,4,"£1,768,000","£442,000"
Ralf Fährmann,GK,NCFC,30,2019,2019,1,,
