Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
1,Max Aarons,ENG,['DF'],Bournemouth,24,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,2024-2025
2,Joshua Acheampong,ENG,['DF'],Chelsea,18,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,2024-2025
3,Tyler Adams,USA,['MF'],Bournemouth,25,1999,21.8,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3,2024-2025
4,Tosin Adarabioyo,ENG,['DF'],Chelsea,26,1997,15.7,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60.0,2024-2025
5,Simon Adingra,CIV,"['FW', 'MF']",Brighton,22,2002,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6,2024-2025
6,Emmanuel Agbadou,CIV,['DF'],Wolves,27,1997,15.7,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5,2024-2025
7,Asher Agbinone,ENG,['MF'],Crystal Palace,18,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,2024-2025
8,Ola Aina,NGA,['DF'],Nott'ham Forest,27,1996,33.3,5,0,0,23,35,2,59,33,42,0,1,0,190,13,19,40.6,2024-2025
9,Rayan Aït-Nouri,ALG,['DF'],Wolves,23,2001,34.5,7,1,1,30,46,6,94,26,57,0,0,0,145,22,30,42.3,2024-2025
10,Kristoffer Ajer,NOR,['DF'],Brentford,26,1998,16.0,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54.0,2024-2025
11,Manuel Akanji,SUI,['DF'],Manchester City,29,1995,22.4,3,0,0,17,9,0,11,9,12,0,0,0,103,30,33,47.6,2024-2025
12,Nathan Aké,NED,['DF'],Manchester City,29,1995,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5,2024-2025
13,Carlos Alcaraz,ARG,['MF'],Southampton,21,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,2024-2025
14,Carlos Alcaraz,ARG,"['FW', 'MF']",Everton,21,2002,8.5,4,0,0,13,12,1,11,5,5,0,0,0,37,14,8,63.6,2024-2025
15,Trent Alexander-Arnold,ENG,['DF'],Liverpool,25,1998,26.3,5,0,0,11,9,1,153,31,50,0,0,0,132,3,13,18.8,2024-2025
16,Alisson,BRA,['GK'],Liverpool,31,1992,27.9,0,0,0,0,2,0,0,0,0,0,0,0,47,7,0,100.0,2024-2025
17,Miguel Almirón,PAR,['FW'],Newcastle Utd,30,1994,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0,2024-2025
18,Olabade Aluko,[],['DF'],Leicester City,,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2024-2025
19,Edson Álvarez,MEX,['MF'],West Ham,26,1997,19.7,9,1,1,42,18,4,6,18,27,0,0,0,88,30,23,56.6,2024-2025
20,Will Alves,ENG,['FW'],Leicester City,19,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-2025
21,Harry Amass,ENG,['DF'],Manchester Utd,17,2007,3.8,0,0,0,2,4,1,9,2,2,0,0,0,26,7,6,53.8,2024-2025
22,Samuel Amo-Ameyaw,ENG,"['FW', 'DF']",Southampton,18,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,2024-2025
23,Mathis Amougou,FRA,['MF'],Chelsea,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,2024-2025
24,Joachim Andersen,DEN,['DF'],Crystal Palace,28,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,2024-2025
25,Joachim Andersen,DEN,['DF'],Fulham,28,1996,28.7,6,1,0,18,19,0,12,34,18,0,1,1,122,70,39,64.2,2024-2025
26,Elliot Anderson,ENG,['MF'],Nott'ham Forest,21,2002,30.3,10,0,0,49,58,4,86,31,56,0,0,0,207,56,30,65.1,2024-2025
27,André,BRA,['MF'],Wolves,23,2001,27.5,7,0,0,36,34,0,0,37,55,0,1,0,194,2,6,25.0,2024-2025
