Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
1,Max Aarons,ENG,['DF'],Bournemouth,24,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,2024-2025
2,Joshua Acheampong,ENG,['DF'],Chelsea,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2,2024-2025
3,Tyler Adams,USA,['MF'],Bournemouth,25,1999,21.8,1069,1025,38,34,2,1,3,4,0,0,0,0,902,6,14,2024-2025
4,Tosin Adarabioyo,ENG,['DF'],Chelsea,26,1997,15.7,1184,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3,2024-2025
5,Simon Adingra,CIV,"['FW', 'MF']",Brighton,22,2002,12.2,382,372,9,0,2,0,41,8,1,0,0,0,290,1,12,2024-2025
6,Emmanuel Agbadou,CIV,['DF'],Wolves,27,1997,15.7,1001,955,43,28,1,11,2,0,0,0,0,0,855,3,5,2024-2025
7,Asher Agbinone,ENG,['MF'],Crystal Palace,18,2005,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,2024-2025
8,Ola Aina,NGA,['DF'],Nott'ham Forest,27,1996,33.3,1352,1071,279,15,0,4,59,264,0,0,0,0,994,2,46,2024-2025
9,Rayan Aït-Nouri,ALG,['DF'],Wolves,23,2001,34.5,1721,1397,320,44,3,4,94,246,30,24,1,0,1449,4,42,2024-2025
10,Kristoffer Ajer,NOR,['DF'],Brentford,26,1998,16.0,644,570,73,2,0,3,14,71,0,0,0,0,504,1,18,2024-2025
11,Manuel Akanji,SUI,['DF'],Manchester City,29,1995,22.4,1744,1707,36,18,4,10,11,10,0,0,0,0,1632,1,6,2024-2025
12,Nathan Aké,NED,['DF'],Manchester City,29,1995,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3,2024-2025
13,Carlos Alcaraz,ARG,['MF'],Southampton,21,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,2024-2025
14,Carlos Alcaraz,ARG,"['FW', 'MF']",Everton,21,2002,8.5,278,265,12,2,1,2,11,6,3,2,1,0,224,1,10,2024-2025
15,Trent Alexander-Arnold,ENG,['DF'],Liverpool,25,1998,26.3,1971,1651,310,63,12,32,153,192,55,34,12,1,1448,10,36,2024-2025
16,Alisson,BRA,['GK'],Liverpool,31,1992,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1,2024-2025
17,Miguel Almirón,PAR,['FW'],Newcastle Utd,30,1994,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2,2024-2025
18,Olabade Aluko,[],['DF'],Leicester City,,,0.0,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0,2024-2025
19,Edson Álvarez,MEX,['MF'],West Ham,26,1997,19.7,1003,980,16,12,3,12,6,3,0,0,0,0,861,7,10,2024-2025
