Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,Max Aarons,ENG,['DF'],Bournemouth,24,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
2,Joshua Acheampong,ENG,['DF'],Chelsea,18,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches,2024-2025
3,Tyler Adams,USA,['MF'],Bournemouth,25,1999,21.8,0,9,2,22.2,0.41,0.09,0.00,0.00,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches,2024-2025
4,Tosin Adarabioyo,ENG,['DF'],Chelsea,26,1997,15.7,1,13,2,15.4,0.83,0.13,0.08,0.50,12.5,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches,2024-2025
5,Simon Adingra,CIV,"['FW', 'MF']",Brighton,22,2002,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0,0,2.5,2.5,0.07,-0.5,-0.5,Matches,2024-2025
6,Emmanuel Agbadou,CIV,['DF'],Wolves,27,1997,15.7,1,7,2,28.6,0.45,0.13,0.14,0.50,27.6,1,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches,2024-2025
7,Asher Agbinone,ENG,['MF'],Crystal Palace,18,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2024-2025
8,Ola Aina,NGA,['DF'],Nott'ham Forest,27,1996,33.3,2,11,2,18.2,0.33,0.06,0.18,1.00,26.1,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches,2024-2025
9,Rayan Aït-Nouri,ALG,['DF'],Wolves,23,2001,34.5,4,36,10,27.8,1.04,0.29,0.11,0.40,14.9,0,0,0,2.7,2.7,0.08,+1.3,+1.3,Matches,2024-2025
10,Kristoffer Ajer,NOR,['DF'],Brentford,26,1998,16.0,0,9,3,33.3,0.56,0.19,0.00,0.00,9.5,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches,2024-2025
11,Manuel Akanji,SUI,['DF'],Manchester City,29,1995,22.4,0,15,2,13.3,0.67,0.09,0.00,0.00,14.7,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches,2024-2025
12,Nathan Aké,NED,['DF'],Manchester City,29,1995,7.5,0,3,0,0.0,0.40,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,2024-2025
