Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Season
Max Aarons,ENG,['DF'],Bournemouth,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,2024-2025
Joshua Acheampong,ENG,['DF'],Chelsea,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,2024-2025
Tyler Adams,USA,['MF'],Bournemouth,25,1999,28,21,"1,965",21.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,2024-2025
Tosin Adarabioyo,ENG,['DF'],Chelsea,26,1997,22,15,"1,409",15.7,1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,2024-2025
Simon Adingra,CIV,"['FW', 'MF']",Brighton,22,2002,29,12,"1,097",12.2,2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,2024-2025
Emmanuel Agbadou,CIV,['DF'],Wolves,27,1997,16,16,"1,410",15.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,2024-2025
Asher Agbinone,ENG,['MF'],Crystal Palace,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,2024-2025
Ola Aina,NGA,['DF'],Nott'ham Forest,27,1996,35,35,"2,995",33.3,2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,2024-2025
Rayan Aït-Nouri,ALG,['DF'],Wolves,23,2001,37,37,"3,109",34.5,4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,2024-2025
Kristoffer Ajer,NOR,['DF'],Brentford,26,1998,24,17,"1,438",16.0,0,0,0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,2024-2025
Manuel Akanji,SUI,['DF'],Manchester City,29,1995,26,23,"2,014",22.4,0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,2024-2025
Nathan Aké,NED,['DF'],Manchester City,29,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,2024-2025
Carlos Alcaraz,ARG,['MF'],Southampton,21,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,2024-2025
Carlos Alcaraz,ARG,"['FW', 'MF']",Everton,21,2002,15,7,764,8.5,2,3,5,2,0,0,4,0,1.7,1.7,1.6,3.4,19,42,21,2024-2025
Trent Alexander-Arnold,ENG,['DF'],Liverpool,25,1998,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,2024-2025
Alisson,BRA,['GK'],Liverpool,31,1992,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,2024-2025
Miguel Almirón,PAR,['FW'],Newcastle Utd,30,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,2024-2025
Olabade Aluko,[],['DF'],Leicester City,,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Edson Álvarez,MEX,['MF'],West Ham,26,1997,28,20,"1,772",19.7,0,1,1,0,0,0,9,1,0.4,0.4,0.8,1.2,24,85,18,2024-2025
Will Alves,ENG,['FW'],Leicester City,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2024-2025
Harry Amass,ENG,['DF'],Manchester Utd,17,2007,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,9,7,23,2024-2025
Samuel Amo-Ameyaw,ENG,"['FW', 'DF']",Southampton,18,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,2024-2025
Mathis Amougou,FRA,['MF'],Chelsea,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Joachim Andersen,DEN,['DF'],Crystal Palace,28,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,2024-2025
Joachim Andersen,DEN,['DF'],Fulham,28,1996,29,29,"2,583",28.7,0,0,0,0,0,0,6,1,1.0,1.0,0.5,1.5,16,112,2,2024-2025
Elliot Anderson,ENG,['MF'],Nott'ham Forest,21,2002,37,33,"2,728",30.3,2,6,8,2,0,0,10,0,2.1,2.1,3.3,5.4,52,143,95,2024-2025
André,BRA,['MF'],Wolves,23,2001,33,31,"2,472",27.5,0,0,0,0,0,0,7,0,0.4,0.4,0.8,1.3,10,109,11,2024-2025
Michail Antonio,JAM,['FW'],West Ham,34,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,2024-2025
Antony,BRA,"['DF', 'MF']",Manchester Utd,24,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,2024-2025
Julian Araujo,MEX,['DF'],Bournemouth,22,2001,12,7,497,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,4,14,22,2024-2025
Cameron Archer,ENG,['FW'],Southampton,23,2001,35,13,"1,441",16.0,2,0,2,2,0,1,0,0,5.7,4.9,0.5,5.4,22,14,66,2024-2025
