Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Season
Brenden Aaronson,USA,"['MF', 'FW']",Leeds United,21,2000,36,28,"2,372",26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,2022-2023
George Abbott,ENG,['MF'],Tottenham,16,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2022-2023
Che Adams,SCO,['FW'],Southampton,26,1996,28,23,"1,992",22.1,5,3,8,5,0,0,1,0,6.7,6.7,2.8,9.5,17,34,115,2022-2023
Tyler Adams,USA,['MF'],Leeds United,23,1999,24,24,"2,156",24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,2022-2023
Tosin Adarabioyo,ENG,['DF'],Fulham,24,1997,25,23,"2,085",23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3,2022-2023
Nayef Aguerd,MAR,['DF'],West Ham,26,1996,18,17,"1,595",17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,2022-2023
Naouirou Ahamada,FRA,"['MF', 'FW']",Crystal Palace,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,2022-2023
Rayan Aït-Nouri,ALG,['DF'],Wolves,21,2001,21,9,"1,076",12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,2022-2023
Kristoffer Ajer,NOR,['DF'],Brentford,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,2022-2023
Manuel Akanji,SUI,['DF'],Manchester City,27,1995,29,24,"2,287",25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,2022-2023
Nathan Aké,NED,['DF'],Manchester City,27,1995,26,22,"1,873",20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,2022-2023
Marc Albrighton,ENG,"['FW', 'MF']",Leicester City,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,2022-2023
Thiago Alcántara,ESP,['MF'],Liverpool,31,1991,18,14,"1,254",13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,2022-2023
Carlos Alcaraz,ARG,"['MF', 'FW']",Southampton,19,2002,18,13,"1,029",11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,2022-2023
Trent Alexander-Arnold,ENG,['DF'],Liverpool,23,1998,37,34,"2,923",32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,2022-2023
Alisson,BRA,['GK'],Liverpool,29,1992,37,37,"3,330",37.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,3,0,2022-2023
Dele Alli,ENG,['MF'],Everton,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,2022-2023
Miguel Almirón,PAR,['FW'],Newcastle Utd,28,1994,34,29,"2,491",27.7,11,2,13,11,0,0,2,0,8.0,8.0,3.2,11.1,77,124,264,2022-2023
Julián Álvarez,ARG,"['FW', 'MF']",Manchester City,22,2000,31,13,"1,465",16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,2022-2023
