Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Max Aarons,ENG,['DF'],Bournemouth,23,2000,20,13,"1,237",13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,2023-2024
Joshua Acheampong,ENG,['DF'],Chelsea,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Tyler Adams,USA,['MF'],Bournemouth,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2023-2024
Tosin Adarabioyo,ENG,['DF'],Fulham,25,1997,20,18,"1,617",18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,2023-2024
Elijah Adebayo,ENG,['FW'],Luton Town,25,1998,27,16,"1,419",15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,2023-2024
Simon Adingra,CIV,['FW'],Brighton,21,2002,31,25,"2,222",24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,2023-2024
Nayef Aguerd,MAR,['DF'],West Ham,27,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,2023-2024
Brandon Aguilera,CRC,['FW'],Nott'ham Forest,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Naouirou Ahamada,FRA,"['MF', 'FW']",Crystal Palace,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0.0,0.5,2023-2024
Anel Ahmedhodžić,BIH,['DF'],Sheffield Utd,24,1999,31,29,"2,649",29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4.0,2023-2024
Ola Aina,NGA,['DF'],Nott'ham Forest,26,1996,22,20,"1,692",18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,2023-2024
Rayan Aït-Nouri,ALG,"['DF', 'MF']",Wolves,22,2001,33,29,"2,329",25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,2023-2024
Kristoffer Ajer,NOR,['DF'],Brentford,25,1998,28,21,"1,832",20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,2023-2024
Manuel Akanji,SUI,"['DF', 'MF']",Manchester City,28,1995,30,28,"2,511",27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,2023-2024
Nathan Aké,NED,['DF'],Manchester City,28,1995,29,24,"2,042",22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,2023-2024
