Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
1,James Abankwah,IRL,"['DF', 'MF']",Udinese,20,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
2,Saud Abdulhamid,KSA,['DF'],Roma,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,2024-2025
3,Oliver Abildgaard,DEN,['MF'],Como,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
4,Tammy Abraham,ENG,['FW'],Roma,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
5,Tammy Abraham,ENG,['FW'],Milan,26,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0,2024-2025
6,Federico Accornero,ITA,['MF'],Genoa,20,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
7,Francesco Acerbi,ITA,['DF'],Inter,36,1988,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,2024-2025
8,Che Adams,SCO,['FW'],Torino,28,1996,29.5,63,2.14,49,1,0,8,5,0,5,0.17,4,0,0,1,0,0,2024-2025
9,Yacine Adli,FRA,['MF'],Fiorentina,24,2000,13.7,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0,2024-2025
10,Vasilije Adžić,MNE,"['MF', 'FW']",Juventus,18,2006,0.5,2,4.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
11,Michel Aebischer,SUI,['MF'],Bologna,27,1997,8.0,18,2.23,15,2,0,0,0,1,0,0.00,0,0,0,0,0,0,2024-2025
12,Honest Ahanor,ITA,"['DF', 'MF']",Genoa,16,2008,3.0,5,1.67,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,2024-2025
13,Junior Ajayi,CIV,['FW'],Hellas Verona,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
14,Jean-Daniel Akpa-Akpro,CIV,['MF'],Monza,31,1992,10.7,12,1.12,8,0,1,1,1,1,1,0.09,0,0,0,0,0,1,2024-2025
15,David Akpan Ankeye,NGA,"['FW', 'MF']",Genoa,22,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,2024-2025
16,Faride Alidou,GER,"['FW', 'MF']",Hellas Verona,23,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
17,Dele Alli,ENG,['MF'],Como,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
18,Pontus Almqvist,SWE,"['FW', 'MF']",Parma,25,1999,12.4,26,2.10,15,0,5,3,3,0,2,0.16,2,0,0,0,0,0,2024-2025
19,Giorgio Altare,ITA,['DF'],Venezia,25,1998,8.4,5,0.60,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,2024-2025
20,Sofyan Amrabat,MAR,['MF'],Fiorentina,27,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
21,Angeliño,ESP,['DF'],Roma,27,1997,35.3,89,2.52,68,14,2,1,4,0,7,0.20,6,0,0,0,1,0,2024-2025
22,Lorenzo Anghelè,ITA,['FW'],Juventus,19,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
23,Faustino Anjorin,ENG,['MF'],Empoli,22,2001,12.4,32,2.59,24,1,3,1,2,1,5,0.40,4,0,0,0,0,1,2024-2025
24,Marko Arnautović,AUT,['FW'],Inter,35,1989,6.1,15,2.46,15,0,0,0,0,0,2,0.33,2,0,0,0,0,0,2024-2025
25,Kristjan Asllani,ALB,['MF'],Inter,22,2002,11.0,31,2.82,23,6,0,1,1,0,3,0.27,2,1,0,0,0,0,2024-2025
26,Arthur Atta,FRA,"['MF', 'FW']",Udinese,21,2003,13.9,46,3.31,40,2,1,2,1,0,2,0.14,0,0,0,2,0,0,2024-2025
27,Emil Audero,IDN,['GK'],Como,27,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
28,Tommaso Augello,ITA,['DF'],Cagliari,29,1994,30.1,73,2.42,48,21,3,1,0,0,11,0.36,10,1,0,0,0,0,2024-2025
29,Carlos Augusto,BRA,['DF'],Inter,25,1999,18.8,24,1.28,18,1,0,1,2,2,3,0.16,2,0,0,1,0,0,2024-2025
