Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
1,Tammy Abraham,ENG,['FW'],Roma,25,1997,2.7,1,0,0,6,5,2,2,0,1,1,0,0,1,6,5,54.5,2023-2024
2,Francesco Acerbi,ITA,['DF'],Inter,35,1988,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4,2023-2024
3,Yacine Adli,FRA,['MF'],Milan,23,2000,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0,2023-2024
4,Michel Aebischer,SUI,['MF'],Bologna,26,1997,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7,2023-2024
5,Lucien Agoume,FRA,['MF'],Inter,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,2023-2024
6,Marley Aké,FRA,['FW'],Udinese,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2023-2024
7,Ebenezer Akinsanmiro,NGA,['MF'],Inter,18,2004,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,2023-2024
8,Jean-Daniel Akpa-Akpro,CIV,['MF'],Monza,30,1992,7.8,5,0,0,15,5,0,1,12,11,0,1,0,29,5,7,41.7,2023-2024
9,David Akpan Ankeye,NGA,['FW'],Genoa,21,2002,0.6,0,0,0,2,1,0,1,0,0,0,0,0,4,0,1,0.0,2023-2024
10,Luis Alberto,ESP,['MF'],Lazio,30,1992,25.7,7,0,0,16,23,6,150,7,20,0,0,0,140,10,19,34.5,2023-2024
11,Carlos Alcaraz,ARG,['MF'],Juventus,20,2002,4.2,0,0,0,5,5,0,1,5,6,0,0,0,17,2,9,18.2,2023-2024
12,Pontus Almqvist,SWE,"['FW', 'MF']",Lecce,24,1999,23.4,5,0,0,29,35,1,21,14,29,2,0,0,69,14,22,38.9,2023-2024
13,Lorenzo Amatucci,ITA,['MF'],Fiorentina,19,2004,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,50.0,2023-2024
14,Bruno Amione,ARG,['DF'],Hellas Verona,21,2002,6.4,2,0,0,10,6,0,1,9,3,0,0,0,39,19,10,65.5,2023-2024
15,Felipe Anderson,BRA,"['FW', 'MF']",Lazio,30,1993,30.8,3,0,0,30,36,4,57,27,45,0,0,0,139,15,16,48.4,2023-2024
16,Angeliño,ESP,['DF'],Roma,26,1997,12.7,2,0,0,13,10,1,53,12,11,0,0,1,55,15,9,62.5,2023-2024
17,Houssem Aouar,ALG,"['MF', 'FW']",Roma,25,1998,8.4,3,0,0,10,11,3,10,4,11,0,0,0,39,10,11,47.6,2023-2024
18,Simone Aresti,ITA,['GK'],Cagliari,37,1986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
19,Marko Arnautović,AUT,['FW'],Inter,34,1989,8.9,0,0,0,11,15,8,7,5,4,0,0,0,17,4,7,36.4,2023-2024
20,Kristjan Asllani,ALB,['MF'],Inter,21,2002,8.7,1,0,0,4,19,0,35,11,2,0,0,0,57,4,7,36.4,2023-2024
21,Emil Audero,IDN,['GK'],Inter,26,1997,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0,2023-2024
22,Tommaso Augello,ITA,['DF'],Cagliari,28,1994,26.9,5,0,0,15,14,1,153,17,19,0,0,0,147,34,28,54.8,2023-2024
23,Carlos Augusto,BRA,['DF'],Inter,24,1999,19.2,1,0,0,17,6,1,40,16,21,0,0,0,74,59,26,69.4,2023-2024
24,Yann Aurel Bisseck,GER,['DF'],Inter,22,2000,10.0,0,0,0,6,11,2,5,5,6,0,0,0,37,18,17,51.4,2023-2024
25,Sardar Azmoun,IRN,"['FW', 'MF']",Roma,28,1995,6.5,4,0,0,8,11,2,2,3,5,2,0,0,19,13,15,46.4,2023-2024
26,Paulo Azzi,BRA,"['DF', 'MF']",Cagliari,29,1994,10.6,1,0,0,5,4,4,48,16,11,0,0,0,59,13,11,54.2,2023-2024
27,Oussama El Azzouzi,MAR,['MF'],Bologna,22,2001,6.1,4,0,0,14,7,1,2,6,7,0,0,0,37,5,11,31.3,2023-2024
28,Milan Badelj,CRO,['MF'],Genoa,34,1989,28.2,6,0,0,24,14,0,14,50,27,0,0,0,177,12,13,48.0,2023-2024
29,Jaime Báez,URU,"['FW', 'MF']",Frosinone,28,1995,5.6,1,0,0,6,15,5,24,4,1,1,0,0,29,4,5,44.4,2023-2024
30,Nicola Bagnolini,ITA,['GK'],Bologna,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
31,Nedim Bajrami,ALB,"['MF', 'FW']",Sassuolo,24,1999,14.6,0,0,0,12,6,3,78,6,6,0,0,0,57,2,11,15.4,2023-2024
32,Mitchel Bakker,NED,['DF'],Atalanta,23,2000,4.2,1,0,0,4,4,1,13,3,3,0,0,0,30,4,1,80.0,2023-2024
33,Tommaso Baldanzi,ITA,"['MF', 'FW']",Empoli,20,2003,8.3,1,0,0,4,16,2,16,2,2,0,0,0,27,1,6,14.3,2023-2024
34,Tommaso Baldanzi,ITA,"['FW', 'MF']",Roma,20,2003,5.8,2,0,0,7,14,1,7,0,5,0,0,0,20,0,2,0.0,2023-2024
35,Lameck Banda,ZAM,['FW'],Lecce,22,2001,15.0,5,1,0,32,30,9,51,3,23,0,0,0,82,9,16,36.0,2023-2024
36,Daniel Bandeira,POR,['MF'],Hellas Verona,23,2000,5.0,2,0,0,5,3,0,7,3,5,0,0,0,34,4,12,25.0,2023-2024
37,Mattia Bani,ITA,['DF'],Genoa,29,1993,25.6,9,0,0,21,28,2,1,22,10,0,0,0,98,49,42,53.8,2023-2024
38,Antonín Barák,CZE,"['MF', 'FW']",Fiorentina,28,1994,9.0,2,0,0,8,7,1,4,2,2,0,0,0,35,13,22,37.1,2023-2024
39,Nicolò Barella,ITA,['MF'],Inter,26,1997,31.6,7,0,0,28,27,3,51,10,30,1,0,0,167,20,15,57.1,2023-2024
40,Enzo Barrenechea,ARG,['MF'],Frosinone,22,2001,31.2,10,0,0,32,52,0,1,27,42,0,0,0,231,51,43,54.3,2023-2024
41,Davide Bartesaghi,ITA,"['DF', 'MF']",Milan,17,2005,0.9,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,100.0,2023-2024
42,Federico Baschirotto,ITA,['DF'],Lecce,26,1996,36.6,3,1,0,30,4,0,3,23,12,0,2,0,153,93,70,57.1,2023-2024
43,Toma Bašić,CRO,['MF'],Salernitana,26,1996,12.9,5,0,0,14,16,0,25,14,13,0,0,0,60,8,12,40.0,2023-2024
44,Alessandro Bastoni,ITA,['DF'],Inter,24,1999,25.2,5,0,0,31,31,0,76,23,33,0,0,0,119,37,29,56.1,2023-2024
45,Simone Bastoni,ITA,"['MF', 'DF']",Empoli,26,1996,8.3,3,0,0,17,13,0,36,11,13,0,0,0,37,8,11,42.1,2023-2024
46,Reda Belahyane,MAR,['MF'],Hellas Verona,19,2004,1.0,0,0,0,1,1,0,0,1,1,0,0,0,5,0,0,,2023-2024
47,Raoul Bellanova,ITA,['DF'],Torino,23,2000,33.8,5,0,0,14,53,2,178,15,26,0,0,0,127,30,32,48.4,2023-2024
48,Andrea Belotti,ITA,['FW'],Fiorentina,29,1993,10.5,0,0,0,15,22,7,4,2,3,2,0,0,16,39,43,47.6,2023-2024
49,Andrea Belotti,ITA,['FW'],Roma,29,1993,7.5,1,0,0,14,25,8,4,2,4,0,0,0,15,14,22,38.9,2023-2024
50,Lucas Beltrán,ARG,"['FW', 'MF']",Fiorentina,22,2001,18.8,6,0,0,24,28,4,7,2,14,1,0,0,50,22,58,27.5,2023-2024
51,Ismaël Bennacer,ALG,['MF'],Milan,25,1997,12.8,2,0,0,18,26,1,32,12,19,0,0,0,78,13,19,40.6,2023-2024
52,Domenico Berardi,ITA,['FW'],Sassuolo,28,1994,15.9,6,0,0,28,28,4,72,13,8,1,0,0,57,9,18,33.3,2023-2024
53,Bartosz Bereszyński,POL,['DF'],Empoli,31,1992,19.6,3,0,0,23,15,0,16,21,25,0,0,0,81,23,16,59.0,2023-2024
54,Etrit Berisha,ALB,['GK'],Empoli,34,1989,14.0,0,0,0,0,2,0,0,0,0,0,0,0,26,7,0,100.0,2023-2024
55,Medon Berisha,ALB,"['FW', 'MF']",Lecce,19,2003,2.3,0,0,0,7,5,0,3,1,1,0,0,0,10,1,0,100.0,2023-2024
56,Victor Bernth Kristiansen,DEN,['DF'],Bologna,20,2002,25.6,4,0,0,29,7,1,35,12,34,1,1,0,88,24,19,55.8,2023-2024
57,Beto,GNB,['FW'],Udinese,25,1998,0.8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0.0,2023-2024
