Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
1,James Abankwah,IRL,['DF'],Udinese,18,2004,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0,2022-2023
2,Oliver Abildgaard,DEN,['MF'],Hellas Verona,26,1996,6.6,195,194,0,0,0,1,5,0,0,0,0,0,115,1,2,2022-2023
3,Tammy Abraham,ENG,['FW'],Roma,24,1997,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8,2022-2023
4,Christian Acella,ITA,['MF'],Cremonese,20,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,2022-2023
5,Francesco Acerbi,ITA,['DF'],Inter,34,1988,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4,2022-2023
6,Yacine Adli,FRA,"['MF', 'FW']",Milan,22,2000,1.6,76,72,4,1,0,1,6,1,2,0,2,0,49,0,5,2022-2023
7,Michel Aebischer,SUI,"['FW', 'MF']",Bologna,25,1997,17.1,674,641,30,10,0,3,21,13,4,1,3,0,557,3,16,2022-2023
8,Felix Afena-Gyan,GHA,"['FW', 'MF']",Cremonese,19,2003,9.1,193,185,8,2,0,1,4,5,0,0,0,0,146,0,4,2022-2023
9,Kevin Agudelo,COL,"['MF', 'FW']",Spezia,23,1998,23.7,735,711,17,2,5,1,34,7,5,3,2,0,531,7,39,2022-2023
10,Ola Aina,NGA,['DF'],Torino,25,1996,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17,2022-2023
11,Emanuel Aiwum,AUT,['DF'],Cremonese,21,2000,18.4,817,715,100,24,1,6,4,67,0,0,0,0,646,2,13,2022-2023
12,Jean-Daniel Akpa-Akpro,CIV,"['MF', 'FW']",Empoli,29,1992,15.1,406,396,9,7,1,3,11,2,0,0,0,0,302,1,20,2022-2023
13,Luis Alberto,ESP,['MF'],Lazio,29,1992,27.1,1988,1732,246,81,14,7,147,7,117,55,49,0,1640,10,30,2022-2023
14,Agustín Álvarez,URU,"['FW', 'MF']",Sassuolo,21,2001,4.1,84,76,8,0,0,1,4,0,3,0,3,0,68,0,1,2022-2023
15,Kelvin Amian,FRA,['DF'],Spezia,24,1998,26.4,1110,869,238,14,1,2,39,222,2,0,1,0,830,3,31,2022-2023
