Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
1,James Abankwah,IRL,"['DF', 'MF']",Udinese,20,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,2024-2025
2,Saud Abdulhamid,KSA,['DF'],Roma,25,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2024-2025
3,Oliver Abildgaard,DEN,['MF'],Como,28,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
4,Tammy Abraham,ENG,['FW'],Roma,26,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
5,Tammy Abraham,ENG,['FW'],Milan,26,1997,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,Matches,2024-2025
6,Federico Accornero,ITA,['MF'],Genoa,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
7,Francesco Acerbi,ITA,['DF'],Inter,36,1988,19.0,0,5,1,20.0,0.26,0.05,0.00,0.00,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,2024-2025
8,Che Adams,SCO,['FW'],Torino,28,1996,29.5,9,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,+0.8,Matches,2024-2025
9,Yacine Adli,FRA,['MF'],Fiorentina,24,2000,13.7,4,14,5,35.7,1.02,0.36,0.29,0.80,21.3,2,0,0,1.0,1.0,0.07,+3.0,+3.0,Matches,2024-2025
10,Vasilije Adžić,MNE,"['MF', 'FW']",Juventus,18,2006,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2024-2025
11,Michel Aebischer,SUI,['MF'],Bologna,27,1997,8.0,0,10,5,50.0,1.24,0.62,0.00,0.00,22.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,2024-2025
12,Honest Ahanor,ITA,"['DF', 'MF']",Genoa,16,2008,3.0,0,3,1,33.3,1.00,0.33,0.00,0.00,10.5,0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches,2024-2025
13,Junior Ajayi,CIV,['FW'],Hellas Verona,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
14,Jean-Daniel Akpa-Akpro,CIV,['MF'],Monza,31,1992,10.7,0,4,2,50.0,0.37,0.19,0.00,0.00,18.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,2024-2025
15,David Akpan Ankeye,NGA,"['FW', 'MF']",Genoa,22,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
16,Faride Alidou,GER,"['FW', 'MF']",Hellas Verona,23,2001,0.8,0,1,0,0.0,1.27,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,2024-2025
17,Dele Alli,ENG,['MF'],Como,28,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
18,Pontus Almqvist,SWE,"['FW', 'MF']",Parma,25,1999,12.4,1,26,9,34.6,2.10,0.73,0.04,0.11,17.4,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches,2024-2025
19,Giorgio Altare,ITA,['DF'],Venezia,25,1998,8.4,0,3,1,33.3,0.36,0.12,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,2024-2025
20,Sofyan Amrabat,MAR,['MF'],Fiorentina,27,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
21,Angeliño,ESP,['DF'],Roma,27,1997,35.3,2,24,6,25.0,0.68,0.17,0.08,0.33,20.0,0,0,0,1.4,1.4,0.06,+0.6,+0.6,Matches,2024-2025
22,Lorenzo Anghelè,ITA,['FW'],Juventus,19,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
23,Faustino Anjorin,ENG,['MF'],Empoli,22,2001,12.4,2,23,7,30.4,1.86,0.57,0.09,0.29,25.6,1,0,0,0.9,0.9,0.04,+1.1,+1.1,Matches,2024-2025
24,Marko Arnautović,AUT,['FW'],Inter,35,1989,6.1,4,14,6,42.9,2.30,0.98,0.29,0.67,8.7,0,0,0,3.3,3.3,0.23,+0.7,+0.7,Matches,2024-2025
25,Kristjan Asllani,ALB,['MF'],Inter,22,2002,11.0,2,14,3,21.4,1.28,0.27,0.00,0.00,25.0,2,2,2,2.5,0.9,0.06,-0.5,-0.9,Matches,2024-2025
26,Arthur Atta,FRA,"['MF', 'FW']",Udinese,21,2003,13.9,0,26,7,26.9,1.87,0.50,0.00,0.00,20.6,0,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches,2024-2025
27,Emil Audero,IDN,['GK'],Como,27,1997,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
28,Tommaso Augello,ITA,['DF'],Cagliari,29,1994,30.1,0,8,0,0.0,0.27,0.00,0.00,,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,2024-2025
29,Carlos Augusto,BRA,['DF'],Inter,25,1999,18.8,3,24,6,25.0,1.28,0.32,0.13,0.50,11.1,0,0,0,2.8,2.8,0.12,+0.2,+0.2,Matches,2024-2025
30,Yann Aurel Bisseck,GER,['DF'],Inter,23,2000,18.3,3,21,5,23.8,1.15,0.27,0.14,0.60,11.2,0,0,0,2.6,2.6,0.12,+0.4,+0.4,Matches,2024-2025
31,Paulo Azzi,BRA,['DF'],Cagliari,30,1994,4.7,0,8,3,37.5,1.69,0.63,0.00,0.00,16.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,2024-2025
32,Oussama El Azzouzi,MAR,['MF'],Bologna,23,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
33,Jacopo Bacci,ITA,['MF'],Empoli,19,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
34,Milan Badelj,CRO,['MF'],Genoa,35,1989,16.4,1,14,2,14.3,0.86,0.12,0.07,0.50,21.0,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches,2024-2025
35,Mitchel Bakker,NED,['MF'],Atalanta,24,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
36,Tommaso Baldanzi,ITA,"['MF', 'FW']",Roma,21,2003,9.2,1,20,4,20.0,2.16,0.43,0.05,0.25,18.6,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches,2024-2025
37,Keita Baldé,SEN,['FW'],Monza,29,1995,7.1,2,14,5,35.7,1.97,0.71,0.14,0.40,15.5,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches,2024-2025
38,Botond Balogh,HUN,['DF'],Parma,22,2002,22.8,0,3,0,0.0,0.13,0.00,0.00,,5.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches,2024-2025
39,Mario Balotelli,ITA,"['FW', 'MF']",Genoa,33,1990,0.7,0,2,0,0.0,2.90,0.00,0.00,,30.5,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2024-2025
40,Lameck Banda,ZAM,"['FW', 'MF']",Lecce,23,2001,6.8,0,17,4,23.5,2.51,0.59,0.00,0.00,19.7,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches,2024-2025
41,Daniel Bandeira,POR,['MF'],Hellas Verona,24,2000,4.5,0,2,1,50.0,0.44,0.22,0.00,0.00,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,2024-2025
42,Mattia Bani,ITA,['DF'],Genoa,30,1993,16.7,0,8,3,37.5,0.48,0.18,0.00,0.00,9.2,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches,2024-2025
43,Antonín Barák,CZE,['MF'],Fiorentina,29,1994,0.6,0,2,2,100.0,3.33,3.33,0.00,0.00,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2024-2025
44,Federico Barba,ITA,['DF'],Como,30,1993,4.8,0,2,1,50.0,0.42,0.21,0.00,0.00,8.9,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,2024-2025
45,Nicolò Barella,ITA,['MF'],Inter,27,1997,27.7,3,43,9,20.9,1.55,0.32,0.07,0.33,24.8,1,0,0,2.2,2.2,0.05,+0.8,+0.8,Matches,2024-2025
46,Davide Bartesaghi,ITA,['DF'],Milan,18,2005,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,24.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,2024-2025
47,Federico Baschirotto,ITA,['DF'],Lecce,27,1996,38.0,2,22,8,36.4,0.58,0.21,0.09,0.25,11.8,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches,2024-2025
48,Daniele Baselli,ITA,['MF'],Como,32,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
49,Alessandro Bastoni,ITA,['DF'],Inter,25,1999,26.7,1,13,2,15.4,0.49,0.07,0.08,0.50,13.3,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,2024-2025
50,Reda Belahyane,MAR,['MF'],Hellas Verona,20,2004,18.4,0,6,2,33.3,0.33,0.11,0.00,0.00,23.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,2024-2025
51,Reda Belahyane,MAR,['MF'],Lazio,20,2004,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
52,Raoul Bellanova,ITA,['DF'],Torino,24,2000,1.0,0,1,0,0.0,1.03,0.00,0.00,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2024-2025
53,Raoul Bellanova,ITA,['DF'],Atalanta,24,2000,26.7,0,18,5,27.8,0.67,0.19,0.00,0.00,15.2,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches,2024-2025
54,Andrea Belotti,ITA,['FW'],Como,30,1993,6.6,2,19,3,15.8,2.88,0.46,0.11,0.67,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches,2024-2025
55,Lucas Beltrán,ARG,"['FW', 'MF']",Fiorentina,23,2001,21.7,5,26,6,23.1,1.20,0.28,0.12,0.50,15.9,0,2,3,5.4,3.1,0.12,-0.4,-0.1,Matches,2024-2025
56,Adrian Benedyczak,POL,"['FW', 'MF']",Parma,23,2000,2.4,0,3,0,0.0,1.26,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,2024-2025
57,Ismaël Bennacer,ALG,['MF'],Milan,26,1997,3.3,0,3,2,66.7,0.90,0.60,0.00,0.00,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,2024-2025
58,Medon Berisha,ALB,['MF'],Lecce,20,2003,8.0,0,24,6,25.0,3.02,0.75,0.00,0.00,26.7,2,0,0,0.7,0.7,0.03,-0.7,-0.7,Matches,2024-2025
59,Adrian Bernabe,ESP,['MF'],Parma,23,2001,16.1,1,27,5,18.5,1.67,0.31,0.04,0.20,26.2,7,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches,2024-2025
60,Antoine Bernede,FRA,['MF'],Hellas Verona,25,1999,6.6,1,4,2,50.0,0.61,0.30,0.25,0.50,21.0,0,0,0,0.8,0.8,0.19,+0.2,+0.2,Matches,2024-2025
61,Sam Beukema,NED,['DF'],Bologna,25,1998,33.5,0,15,4,26.7,0.45,0.12,0.00,0.00,10.6,0,0,0,1.5,1.5,0.10,-1.5,-1.5,Matches,2024-2025
62,Alessandro Bianco,ITA,['MF'],Monza,21,2002,28.9,1,26,6,23.1,0.90,0.21,0.04,0.17,23.7,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches,2024-2025
63,Alessandro Bianco,ITA,['MF'],Fiorentina,21,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
64,Jaka Bijol,SVN,['DF'],Udinese,25,1999,32.9,1,19,6,31.6,0.58,0.18,0.05,0.17,11.8,0,0,0,2.0,2.0,0.10,-1.0,-1.0,Matches,2024-2025
65,Philip Billing,DEN,['MF'],Napoli,28,1996,2.2,1,6,3,50.0,2.74,1.37,0.17,0.33,14.5,2,0,0,1.5,1.5,0.27,-0.5,-0.5,Matches,2024-2025
66,Cristiano Biraghi,ITA,['DF'],Torino,31,1992,12.9,0,10,1,10.0,0.78,0.08,0.00,0.00,25.9,3,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,2024-2025
67,Cristiano Biraghi,ITA,['DF'],Fiorentina,31,1992,4.8,1,5,2,40.0,1.04,0.42,0.20,0.50,26.2,3,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches,2024-2025
68,Samuele Birindelli,ITA,"['DF', 'MF']",Monza,25,1999,16.3,3,16,10,62.5,0.98,0.61,0.19,0.30,15.4,0,0,0,2.1,2.1,0.13,+0.9,+0.9,Matches,2024-2025
69,Bjarki Bjarkason,ISL,"['DF', 'MF']",Venezia,24,2000,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2024-2025
70,Emil Bohinen,NOR,['MF'],Genoa,25,1999,1.8,0,2,0,0.0,1.08,0.00,0.00,,28.6,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,2024-2025
