player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Sam Beukema,26,['Netherlands'],CB,€28.00m,Bologna FC 1909,SSC Napoli,€31.00m,25/26
Noa Lang,26,"['Netherlands', 'Suriname']",LW,€25.00m,PSV Eindhoven,SSC Napoli,€25.00m,25/26
Miguel Gutiérrez,24,['Spain'],LB,€20.00m,Girona FC,SSC Napoli,€18.00m,25/26
Luca Marianucci,20,['Italy'],CB,€7.50m,FC Empoli,SSC Napoli,€9.00m,25/26
Mathias Ferrante,18,['Italy'],GK,€200k,SSD NovaRomentin,SSC Napoli,€100k,25/26
Emanuele Rao,19,['Italy'],LW,€800k,SPAL,SSC Napoli,free transfer,25/26
Kevin De Bruyne,34,['Belgium'],AM,€20.00m,Manchester City,SSC Napoli,free transfer,25/26
Victor Osimhen,26,['Nigeria'],CF,€70.00m,SSC Napoli,Galatasaray,€75.00m,25/26
Giacomo Raspadori,25,['Italy'],SS,€25.00m,SSC Napoli,Atlético de Madrid,€22.00m,25/26
Natan,24,['Brazil'],CB,€9.00m,SSC Napoli,Real Betis Balompié,€9.00m,25/26
Elia Caprile,23,['Italy'],GK,€9.00m,SSC Napoli,Cagliari Calcio,€8.00m,25/26
Gianluca Gaetano,25,['Italy'],AM,€4.00m,SSC Napoli,Cagliari Calcio,€6.00m,25/26
Francesco Mezzoni,25,['Italy'],RM,€200k,SSC Napoli,Virtus Entella,free transfer,25/26
Alessandro Spavone,21,['Italy'],AM,€100k,SSC Napoli,Guidonia Montecelio 1937 FC,free transfer,25/26
Francesco Gioielli,21,['Italy'],DM,€75k,SSC Napoli,Atletico Calcio Afragolese,free transfer,25/26
Giuseppe D'Agostino,22,['Italy'],LW,€250k,SSC Napoli,Giugliano Calcio 1928,free transfer,25/26
Matteo Marchisano,20,['Italy'],RB,€50k,SSC Napoli,US Avellino 1912,free transfer,25/26
Ange-Yoan Bonny,21,"['France', ""Cote d'Ivoire""]",CF,€20.00m,Parma Calcio 1913,Inter Milan,€23.00m,25/26
Luis Henrique,23,['Brazil'],RM,€25.00m,Olympique Marseille,Inter Milan,€22.80m,25/26
Andy Diouf,22,"['France', 'Senegal']",CM,€15.00m,RC Lens,Inter Milan,€20.00m,25/26
Petar Sučić,21,"['Croatia', 'Bosnia-Herzegovina']",CM,€14.00m,GNK Dinamo Zagreb,Inter Milan,€14.60m,25/26
Nicola Zalewski,23,['Poland'],LM,€12.00m,AS Roma,Inter Milan,€8.00m,25/26
Nicola Zalewski,23,['Poland'],LM,€12.00m,Inter Milan,Atalanta BC,€17.00m,25/26
Aleksandar Stanković,19,"['Serbia', 'Italy']",DM,€11.00m,Inter Milan,Club Brugge KV,€9.50m,25/26
Tajon Buchanan,26,"['Canada', 'Jamaica']",RW,€6.00m,Inter Milan,Villarreal CF,€9.00m,25/26
Martín Satriano,24,"['Uruguay', 'Italy']",CF,€5.00m,Inter Milan,RC Lens,€4.70m,25/26
Mehdi Taremi,33,['Iran'],CF,€3.50m,Inter Milan,Olympiacos Piraeus,€2.00m,25/26
Filip Stanković,23,['Serbia'],GK,€6.00m,Inter Milan,Venezia FC,€1.50m,25/26
Joaquín Correa,30,"['Argentina', 'Italy']",SS,€3.00m,Inter Milan,Botafogo de Futebol e Regatas,free transfer,25/26
Eddie Salcedo,23,"['Italy', 'Colombia']",CF,€1.00m,Inter Milan,OFI Crete FC,free transfer,25/26
Marko Arnautovic,36,"['Austria', 'Serbia']",CF,€3.00m,Inter Milan,Red Star Belgrade,free transfer,25/26
Zinho Vanheusden,26,['Belgium'],CB,€1.00m,Inter Milan,Marbella FC,?,25/26
